NUMBER ,QUESTION ,OPTIONS ,SOLUTION ,IMAGE Q,ANSWER KEY, IMAGE A 
ANA1,Nucleus pulposus is derived from ____________.,"a) 1
b) 2
c) 3
d) 4","Nucleus pulposus is derived from the notochord (marked as 1).
The other labelled structures are
2 - Ectoderm
3 - Endoderm
4 - Intraembryonic mesoderm",16-1.PNG,A,
ANA2,what is the origin of the fibers marked by the arrow?,"
a) Hippocampus
b) Habenular
c) Mamillary body
d) Amygdala","The arrow indicates the fornix. It arises from the hippocampus and ends in the mamillary body of the hypothalamus.
Fornix is an example of association fiber. It is supplied by the anterior cerebral artery.",17-3.PNG,A,
ANA3,"Among the following, what is the function of the marked muscles?","a) Depression
b) protrusion

c) Elevation
d) Retraction","The muscle marked in the above image is the lateral pterygoid muscle and its primary function is depression of the mandible (opening of the mouth).
Bilateral contraction of the lateral pterygoid alone causes depression of the mandible (making it   the primary function) whereas, protrusion is the result of bilateral contraction of both the medial and lateral pterygoid muscles.
The lateral pterygoid has the following actions:
• opening of the jaw (depression): Lateral pterygoid has a specialized role in mandibular
opening mediated by its horizontal fibres. when left and right lateral pterygoid muscles contract together, the mandibular condyle is pulled forwards and slightly downwards. This protrusive
movement alone has little or no function except in assisting the opening of the jaw (Gray's Anatomy 41st edition).
• side-to-side movement: when the lateral pterygoid contracts unilaterally along with the adjacent medial pterygoid the jaw is pulled medially. This is used for grinding food between teeth of the
same side. This action is mediated by the inferior head of the lateral pterygoid.

Muscles of masticatio n Nerve supply Action (on mandible)
Temporalis Mandibular nerve (CN V3) ElevationRetraction (posterio r fibers)
Masseter Mandibular nerve (CN V3) Elevationprotrusion (superfic ial fibers)
Lateral pterygoid Mandibular nerve (CN V3) Depressionswinging of Jaw(u nilaterally)
Medial pterygoid Mandibular nerve (CN V3) Elevationprotrusion
suprahyoid muscles  
Digastric Facial nerve (CN VII),Mandib ular nerve (CN V3) Depression of mandible and elevation of hyoid bone
stylohyoid Facial nerve (CN VII) Elevation of hyoid bone
Mylohyoid Mandibular nerve (CN V3) Elevation of hyoid bone
Geniohyoid Nerve to geniohyoid Depression of mandible and elevation of hyoid bone
Infrahyoid muscles  
omohyoid Ansa cervicalis (C1-C3) Fixes or depresses hyoid bon e
sternohyoid Ansa cervicalis (C1-C3) Fixes or depresses hyoid bon e
sternothyroid Ansa cervicalis (C1-C3) Draws thyroid cartilage down wards
Thyrohyoid C1 via hypoglossal nerve (CN XII) Fixes or depresses hyoid bon e",17-2.PNG,A,
ANA4,which of the marked foramen does the mandibular division of the trigeminal nerve pass through?,"a) A
b) B
c) C
d) D","The mandibular nerve passes through the foramen ovale which is marked as A in the above image.
other foramina marked in the above image:
B - Foramen spinosum
C - Internal acoustic meatus
D - Jugular foramen",18-4.PNG,A,
ANA5,The structure marked with the asterisk in the electron micrograph indicates _____________.,"
a) Mitochondria
b) Golgi bodies
c) secretory vesicles
d) Ribosomes","The structure marked with the asterisk in the electron micrograph indicates presynaptic secretory vesicles. The structure marked with the arrowhead is postsynaptic density.
The secretory vesicles are synthesized by the neurons and are involved in electrochemical signalling in the brain and neuromuscular junctions",19-6.PNG,C,31-18.PNG
ANA6,"In the image given below, identify the muscle responsible for the opening of the mouth.","a) A
b) B

c) C
d) D","In the given image the structure marked B represents the lateral pterygoid muscle which is responsible for the opening of the mouth.
Lateral pterygoid:
• origin -
• upper head - Infratemporal surface and infratemporal crest of the greater wing of the sphenoid bone.
• Lower head - Lateral surface of the lateral pterygoid plate.
• Insertion - It is inserted into the pterygoid fovea, capsule of the temporomandibular joint, and the articular disc.
• Nerve supply - Lateral pterygoid nerve which is a branch of the trigeminal nerve.
other structures marked:
A - Temporalis
C - Masseter
D - Medial pterygoid",19-5.PNG,B,34-22.PNG
ANA7,Identify the structure passing through the foramen marked,"
a) Abducens nerve
b) spinal accessory nerve
c) ophthalmic artery
d) Middle meningeal artery","The marked foramen is the superior orbital fissure and the abducens nerve passes through it.
The abducens nerve is the 6th cranial nerve and arises from the brainstem at the pontomedullary junction. It runs through the Dorello's canal which is present at the medial most end of the
petrous ridge and then enters the cavernous sinus where it lies lateral to the internal carotid
artery. It enters the orbit through the superior orbital fissure within the common tendinous ring and supplies the lateral rectus.
other options:
spinal accessory nerve passes through the foramen magnum along with the medulla
oblongata and the verterbral arteries
ophthalmic artery passes through the optic canal along with the optic nerve.
Middle meningeal artery and vein pass through the foramen spinosum along with the meningeal branch of mandibular nerve.",20-7.PNG,A,
ANA8,The talocalcaneonavicular joint is a ________type of joint.,"a) Ball and socket
b) saddle type
c) plane
d) Ellipsoid","The talocalcaneonavicular joint is a ball and socket joint.
• The ball part is formed by the rounded head of the talus.
• The socket is formed by 3 structures:
• posterior surface of the navicular
• Anterior articular surface of the calcaneus
• upper surface of the plantar calcaneonavicular ligament (spring ligament)",,A,35-24.PNG
ANA9,which of the following is connected to the structure marked as A in the image below?,"a) orbital cortex
b) Hippocampus
c) striate cortex
d) optic chiasma","The structure marked A is the splenium of the corpus callosum and it is connected to the striate cortex.
The body of the corpus callosum arches posteriorly and ends as the thickened posterior portion
called the splenium. The fibers from the splenium form the forceps major and arch backward into the occipital lobe (striate cortex).
The hippocampus is not connected directly to the splenium, but situated inferior to the splenium. The image given below shows the parts of the corpus callosum.",21-8.PNG,C,35-23.PNG
ANA10,The structure passing through the central tendon of the diaphragm is:,"a) oesophagus
b) Aorta
c) Inferior vena cava
d) sympathetic chain",The inferior vena cava passes through the central tendon of the diaphragm.,,C,36-26.PNG
ANA11,shape of Trapezius muscle is ________________,"a) Triangular
b) Quadrilateral
c) pentagonal
d) Linear","The trapezius is a broad, flat and triangular muscle
Trapezius muscle shape:
• considering left or right side - triangular shape
• considering both sides together - diamond shaped, hence named “trapezius”",,A,36-25.PNG
