NUMBER,QUESTION,OPTIONS,SOLUTION,IMAGE Q,ANSWER KEY,IMAGE A
Q1,The structure marked with the asterisk in the electron micrograph indicates _____________.,"a) Mitochondria
b) Golgi bodies
c) secretory vesicles
d) Ribosomes","The structure marked with the asterisk in the electron micrograph indicates presynaptic secretory vesicles. The structure marked with the arrowhead is postsynaptic density.
The secretory vesicles are synthesized by the neurons and are involved in electrochemical signalling in the brain and neuromuscular junctions.

on electron microscopy:
• Mitochondria appear as round or elliptical bodies of o.5-2.o micron long on an electron microscope, consisting of an outer and an inner mitochondrial membrane, cristae, and mitochondrial matrix.
• Golgi bodies (or Golgi apparatus) appear as stacks of flatenned membranous cisternae surrounded by clusters of vesicles.
• Ribosomes may be attached to the membrane of the rough endoplasmic reticulum (as shown in the image below), or else, they may exist as monosomes or as a chain of granular structures called polyribosomes associated with mRNA.",44.PNG,C,54.PNG 
Q2,Inferior thyroid artery is the branch of which of the following?,"a) External carotid artery
b) Internal carotid artery
c) Thyrocervical trunk
d) Lingual artery","Inferior thyroid artery is a branch of thyrocervical trunk, which in turn, is a branch of the first part of the subclavian artery. The inferior thyroid artery loops upwards anterior to the medial border of the scalenus anterior, turns medially just below the sixth cervical transverse process, and then descends on longus colli to the lower border of the thyroid gland.
Relations between the terminal branches and recurrent laryngeal nerve are very variable and of considerable surgical importance.",,C,55-40.PNG
Q3,Neurovascular bundle is absent in which compartment of the leg?,"a) Lateral compartment
b) posterior superficial compartment
c) posterior deep compartment
d) Anterior compartment","posterior superficial compartment of the leg does not contain any neurovascular bundle.
The posterior compartment of the leg is divided into the deep and superficial parts by the transverse intermuscular septum.
The contents of the posterior superficial compartment are gastrocnemius, plantaris, and soleus muscle.
Neurovascular components in various compartments of leg are as follows:
• Anterior compartment: Anterior tibial artery and Deep fibular/peroneal nerve
• posterior deep compartment: Tibial nerve and posterior tibial vessels in the deep plane.
• Lateral Compartment: superficial peroneal/fibular nerve and peroneal/fibular vessel. peroneal artery is a branch of posterior tibial artery.
Note: MRI is the best imaging modality for evaluating the soft tissues of the leg.",,B,
Q4,A patient presents to you with inability to form words but can make noises. He also knows what he wants to say. what area of the brain has been damaged in this patient?,"a) wernicke’s area
b) Broca’s area
c) Heschl’s gyrus
d) striate area","The given clinical scenario is suggestive of Broca's aphasia in which the Broca's area will be affected.
In Broca's aphasia/ Motor aphasia / Non-fluent aphasia, areas 44 and 45 in the prefrontal and premotor facial regions of the cerebral cortex are affected. The affected individuals will have difficulty forming verbal or written words. The comprehension aspect of speech is preserved but the person cannot repeat or name the words and lacks fluency.
patients in whom the area is severely affected may have very few words to express all of their emotions.",,B,
Q5,Identify the wrongly marked structure in the diagram,"a) A-corpus callosum
b) c-Hypothalamus
c) B-Fornix
d) D-cerebellum",The image shows the midsagittal section of the brain. The wrongly marked structure is C-hypothalamus. The structure marked as C corresponds to the pituitary gland.,46-36.PNG,B,57-41.PNG
Q6,Loss of flexion at the interphalangeal joint of thumb after supracondylar fracture is due to the involvement of?,"a) Deep branch of ulnar nerve
b) Median Nerve
c) posterior interosseous nerve
d) Anterior interosseous nerve","Loss of flexion at the interphalangeal (Ip) joint of the thumb, is due to the involvement of the anterior interosseous nerve (AIN).
Flexion of thumb occurs at 2 joints:
• Ip joint: Flexor pollicis longus (FpL) supplied by the anterior interosseous nerve (a branch of the median nerve, C7 and C8).
• MCp joint: Flexor pollicis brevis (FpB) supplied by the recurrent motor branch of the median nerve.
other options:
• Deep branch of ulnar nerve > ulnar claw hand",,D,
Q7,purkinje cells of cerebellum relay into _______,"a) caudate nucleus
b) Lentiform nucleus
c) Dentate nucleus
d) Red nucleus","purkinje cells of the cerebellum relay into the dentate nucleus which is one of the deep cerebellar nuclei.
The input to the purkinje cells come from the climbing fibres. The output of purkinje cells is inhibitory to the deep cerebellar nuclei.
options A and B: Caudate and lentiform nuclei are part of the basal ganglia.
option D: Red nucleus receives afferents from the cerebellum and plays a role in modulating signals to the upper motor neurons of the cerebral cortex.",,C,
Q8,which of the following sensations is not perceived by the spinal nucleus of the trigeminal nerve?,"a) Temperature
b) pain
c) Touch
d) proprioception","proprioception is perceived by the mesencephalic nucleus of the trigeminal nerve, not the spinal nucleus.
The trigeminal nerve consists of 4 nuclei: 3 sensory (Mesencephalic, spinal, and principal sensory nucleus) and 1 motor.
Nucleus | Location | Function
--- | --- | ---
Mesencephalic Nucleus | composed of a column of unipolar nerve cells situated in the midbrain and extends inferiorly into the pons as far as the main sensory nucleus | Receives the sensation of proprioception from the muscles of mastication and from the facial and extraocular muscles
principal sensory nucleus | posterior part of the pons lateral to the motor nucleus | Receives the sensations of touch and pressure from the face
spinal nucleus | continuous superiorly with the main sensory nucleus and extends inferiorly the whole of the medulla oblongata till the 2nd cervical segment | Receives the sensation of pain and temperature from the face and some fibers of touch
Motor nucleus | The pons medial to the main sensory nucleus | supplies the muscles of mastication, the tensor tympani, the tensor veli palitini and the mylohyoid and the anterior belly of digastric muscle",,D,58-42.PNG
Q9,The structure marked in the given picture arises from the _______.,"a) Mamillary body
b) Hippocampus
c) Thalamus
d) Amygdala",This is a coronal section of the brain and the marked structure is the fornix. It arises from the hippocampus and ends in the mammillary body of the hypothalamus.,48-37.PNG,B,59-43.PNG
Q10,which of the following arteries does not supply the corresponding region of the dura mater?,"a) Middle meningeal artery – Anterior cranial fossa
b) Accessory meningeal branch of maxillary artery – Middle cranial fossa
c) Meningeal branch of internal carotid artery – posterior cranial fossa
d) Meningeal branch of anterior and posterior ethmoid artery – Anterior cranial fossa","The meningeal branch of the internal carotid artery (ICA) does not supply the posterior cranial fossa. It supplies the anterior cranial fossa.
The dura mater is supplied by meningeal arteries that pass along the inner periosteum (endosteum) of the skull over the endosteal layer of the dura and supply the following regions.
Region | Arteries
--- | ---
Anterior cranial fossa | Meningeal branches of anterior and posterior ethmoid arteries, Meningeal branches of internal carotid arteries, A branch of the middle meningeal artery
Middle cranial fossa | Middle meningeal artery and accessory meningeal branches of the maxillary artery, A branch of the ascending pharyngeal artery, Branches of the internal carotid artery, A recurrent branch of the lacrimal artery
posterior cranial fossa | Meningeal branches of the occipital artery, posterior meningeal branches of the vertebral artery, Dorsal meningeal and tentorial arteries arising from the meningohypophyseal trunk",,C,
