NUMBER,QUESTION,OPTIONS,SOLUTION,IMAGE Q,ANSWER KEY,IMAGE A
Q1,"Given is a model of embryological development of the heart. which structure develops from the area marked as ""A"" ?","a) Atria
b) Left ventricle
c) Infundibulum
d) Interventricular septum","The structure marked is conus cordis (middle part of bulbus cordis). The infundibulum of the heart develops from this structure.
The model shows the embryologic stage of the heart at which both the heart tubes have fused and are undergoing dextro-looping or bending. This happens around day 23 of intrauterine life.
Heart tube and its derivatives
part of the heart tube | Derivative structure in the heart
--- | ---
Bulbus cordis, proximal 1/3 | Trabeculated part of Rt.ventricle
Middle 1/3 (conus cordis) | outflow tract of Rt. and Lt.ventricles
Distal 1/3 (truncus arteriosus) | Root and proximal portions of aorta and pulmonary artery
primitive ventricle | Trabeculated part of the Lt.ventricle
primitive atrium | The common atrium that splits to Rt. and Lt.atrium",95-91.PNG,C,107-103.PNG
Q2,A muscle is attached to the area marked in the given image. what is the action of this muscle on the hip joint?,"a) Flexion and medial rotation
b) Adduction and lateral rotation
c) Abduction and medial rotation
d) Extension and lateral rotation","The area marked in the given image is the gluteal tuberosity. The muscle that is inserted here is the gluteus maximus which causes extension and lateral rotation of the hip joint.
Gluteus maximus inserts onto iliotibial tract (3/4th part) and deep fibers (1/4th) attach on gluteal tuberosity (marked in image). It is supplied by the inferior gluteal nerve. It is the chief extensor of the lower limb at the hip joint. It additionally also causes lateral rotation, abduction.",96-93.PNG,D,108-105.PNG
Q3,Neurotransmitter secreted by the area marked in the given image is?,"a) Acetylcholine
b) Dopamine
c) Glutamine
d) Noradrenaline","The area marked in the given image is substantia nigra (meaning- dark substance). The neurotransmitter secreted by this area is dopamine.
substantia nigra is a part of the nigrostriatal pathway. Degeneration of dopaminergic neurons is implicated in parkinson's disease.
other dopaminergic pathways include:
• Mesocortical
• Mesolimbic
• Tuberoinfundibular",96-92.PNG,B,109-107.PNG
Q4,which of the following arteries passes in close proximity to the area marked by the arrow in the given image?,"a) Internal carotid artery
b) Middle meningeal artery
c) Anterior cerebral artery
d) Deep temporal artery","The area marked by an arrow in the given image is pterion and the artery that passes in close proximity to this area is the middle meningeal artery.
The pterion is an H shaped sutural junction between four bones of the skull:
• Frontal bone
• squamous part of the temporal bone
• Greater wing of the sphenoid bone
• parietal bone.
It is an important structure as it overlies the anterior branch of the middle meningeal artery and lateral fissure of the cerebral hemisphere. The bone in this area is thin and any injury to this area may lead to rupture of the middle meningeal artery leading to extradural hematoma.",97-94.PNG,B,110-108.PNG
Q5,where are the Ito cells in the liver located?,"a) space of disse
b) space of moll
c) sinusoids
d) Bile canaliculi","Ito cells/Hepatic stellate cells are located in the space of Disse. They are mesenchymal in origin. The space of Disse or the perisinusoidal space (or space of Disse) is a location in the liver between hepatocytes and the liver sinusoid.
significance of Ito cells:
Ito cells are in a dormant state for the majority of the duration. They store the fat-soluble vitamin A in their lipid droplets and are a signi¦cant source of growth factors involved in liver homeostasis and regeneration.
when there is liver injury, Ito cells get activated. They replace damaged hepatocytes with collagenous scar tissue and secrete intralobular matrix components, including collagen type III (reticular) ¦bres. This leads to hepatic ¦brosis.
Note: A narrow space which separates limiting plate (a sleeve of modified hepatocytes) from the connective tissue of the portal area is known as space of moll.",,A,111-109.PNG
Q6,which of the following features differentiates the exocrine pancreas from the parotid gland?,"a) Basal lamina lining the serous acini
b) Absence of striated duct
c) presence of serous acini with acidophilic tip
d) presence of apical acinar villi","Absence of striated duct in exocrine pancreas differentiates it from the parotid gland.
The exocrine pancreas is comprised entirely of serous acini. Hence, its general structure is similar to that of the parotid gland, but the two are easily distinguished by:
• The parotid gland has striated and intercalated intralobular ducts, whereas the pancreas has only the intercalated type.
• The excretory ducts of the parotid gland are striated columnar, whereas the excretory duct of the pancreas is a simple columnar.",,B,
Q7,Medial lemniscus is a continuation of which of the following structures?,"a) spinothalamic tract
b) spinocerebellar tract
c) spinotectal tract
d) Fasciculus gracilis","Medial lemniscus is a continuation of fasciculus gracilis.
posterior column–medial lemniscal pathway:
First-order axons carrying discriminative touch and vibration sensations enter the dorsal horn and continue traveling upward in the posterior white column as the fasciculus gracilis and fasciculus cuneatus.
Fibers of these fasciculi synapse on the second-order neurons of the ipsilateral nuclei gracilis and cuneatus in the medulla oblongata, respectively.
Axons of these second-order neurons then cross over as the internal arcuate fibers to form the medial lemniscus in the contralateral medulla.
These second-order axons ascend through the brainstem to reach the third-order neuronal cell bodies in the ventral posterior lateral nucleus of the thalamus. Axons from the third-order neurons then project through the posterior limb of the internal capsule to reach the primary somatosensory cortex.",,D,112-110.PNG
Q8,The type of fibers present in the fornix are:,"a) Association and commisural fibers
b) Association and projection fibers
c) commissural and projection fibers
d) Association fibers","The fibers present in the fornix are association fibers except for the hippocampal commissure of fornix which has commissural fibers. Hence the most appropriate answer is option A. i.e both association and commissural fibers.
Association fibers connect various cortical regions within the same hemisphere whereas commissural fibers connect corresponding regions of two hemispheres.
Fornix arises from the hippocampus and ends in the mamillary body of the hypothalamus. It is supplied by the anterior cerebral artery.
Note: The function of the commissure of the fornix is to connect the hippocampal formations of the two sides.",,A,
Q9,Decussation of the superior cerebellar peduncle occurs at which level?,"a) pons
b) Midbrain
c) Diencephalon
d) Medulla","The decussation of the superior cerebellar peduncle occurs in the midbrain, at the level of the inferior colliculus.
The midbrain has four decussations:
• At the level of the superior colliculus:
• ventral tegmental decussation of the rubrospinal tract
• Dorsal tegmental decussation of the tectospinal tract
• At the level of the inferior colliculus:
• Decussation of superior cerebellar peduncles
• Decussation of trochlear nerve",,B,
Q10,The pretracheal layer of deep cervical fascia encloses all of the following except:,"a) oesophagus
b) sternocleidomastoid
c) sternohyoid
d) Thyroid gland","All the above structures are enclosed by the pretracheal layer of deep cervical fascia except sternocleidomastoid. It is enclosed by the investing layer of deep cervical fascia.
The deep cervical fascia of the neck is organized into the following layers:
• The investing layer, which surrounds all structures in the neck
• The prevertebral layer, which surrounds the vertebral column and the deep muscles associated with the back.
• The pretracheal layer, which encloses the viscera of the neck
• The carotid sheath, which receives a contribution from the other three fascial layers
In the neck, the pretracheal fascia covers the strap muscles i.e sternohyoid, omohyoid, sternothyroid, thyrohyoid. It splits to enclose the thyroid gland. It also surrounds the trachea and the esophagus including the recurrent laryngeal nerve present in the groove between them.",,B,
Q11,All of the following are the contents of the carotid sheath except?,"a) sympathetic chain
b) Carotid artery
c) Internal jugular vein
d) 1oth cranial nerve","The sympathetic chain is not the content of the carotid sheath. It lies posterior to the carotid sheath and anterior to the transverse processes of the cervical vertebrae in the neck.
The carotid sheath is a layer of loose connective tissue formed by adjacent portions of the investing layer of deep cervical fascia, the pretracheal fascia, and the prevertebral fascia.
contents of carotid sheath:
• common and internal carotid arteries,
• Internal jugular vein,
• vagus nerve
• Ansa cervicalis
Note: The glossopharyngeal, accessory, and hypoglossal nerves lie within the upper part of the carotid sheath.",,A,
Q12,A patient presented with paradoxical respiration. which of the following nerves is most likely to be affected?,"a) A
b) B
c) C
d) D","paradoxical respiration occurs due to the damage of the phrenic nerve, which is marked as D, in the given image.
The structures marked in the image are:
A. Right vagus nerve
B. Left vagus nerve
C. Recurrent laryngeal nerve
D. Right phrenic nerve
paradoxical movements in the chest are as follows:
• paradoxical respiration - the abnormal movement of the chest wall or abdominal wall, where they move in during inspiration instead of moving out. It is seen in flail chest.
• paradoxical movement of the diaphragm - normally, the diaphragm moves down during inspiration. However, in cases of phrenic nerve palsy, the affected side of the diaphragm moves upward (paradoxical respiration) due to diaphragmatic paralysis. The gold standard investigation to detect this is the electrical or magnetic stimulation of the phrenic nerve with a recording of the compound muscle action potential and/or the transdiaphragmatic pressure. This can be observed on ultrasound or fluoroscopy.",99-95.PNG,D,114-111.PNG
Q13,which of the following muscles is attached to the area marked in the image below?,"a) Abductor pollicis longus
b) palmar interossei
c) opponens pollicis
d) Flexor pollicis brevis","The area marked in the image is the palmar aspect of the first metacarpal. The opponens pollicis muscle is inserted at this site.
opponens pollicis:
origin:  Tubercle of the trapezium and flexor retinaculum
Insertion: whole length of the lateral border and adjoining lateral half of the palmar aspect of the first metacarpal.
Action: Flexes the metacarpal bone of the thumb.
The image below shows various intrinsic muscles of the hand.",100-97.PNG,C,115-112.PNG
Q14,which of the following marked structures does not form part of the laryngeal skeleton?,"a) A
b) B
c) C
d) D","The structure marked as 'A', is the hyoid bone, which is not a part of the laryngeal skeleton.
The structures marked in the image are:
• Hyoid bone
• Thyroid cartilage
• Epiglottis
• cricoid cartilage
The laryngeal skeleton is formed by a series of cartilages that are connected by ligaments and fibrous membranes:
• The thyroid, cricoid, and the greater part of the arytenoid cartilages consist of hyaline cartilage.
• The corniculate, cuneiform, tritiate, and epiglottic cartilages and the apices of the arytenoid cartilage consist of elastic cartilage.",100-96.PNG,A,
Q15,Identify the foramen marked in the image below.,"a) Foramen rotundum
b) Foramen ovale
c) vidian canal
d) Foramen spinosum",The image shows the sphenoid bone. The foramen marked is the foramen rotundum. Maxillary branch of trigeminal nerve passes through it.,101-98.PNG,A,117-114.PNG
Q16,Reticular fibres are not present in which of the following structures?,"a) Thymus
b) Lymph node
c) Bone marrow
d) spleen","Reticular fibres are not present in the thymus.
Reticular fibres are fine, anastomosing fibres composed of mainly type III collagen. They differ from type I collagen fibres in that, they are finer and are arranged in the form of a network (reticulum). The fibres appear black in colour on staining with silver impregnation. Due to this affinity to silver salts, they are also known as argentophil fibres.
Reticular fibres are mainly found in:
• All lymphoid organs like spleen, lymph node, and bone marrow (except thymus).
• Glands, liver and kidneys.
• The basement membrane of all epithelia.
• smooth muscle and nerve cells.",,A,117-113.PNG
