NUMBER,QUESTION,OPTIONS,SOLUTION,IMAGE Q,ANSWER KEY,IMAGE A
Question 1,what is the function of the proteasome?,"a) protein folding
b) post-translational modification
c) protein degradation
d) protein sorting","The proteasome takes part in protein degradation.
The proteasome is a cylindrical structure in the cytosol that degrades polyubiquitinated proteins. It has a central core with proteolytic enzymes. proteins that are tagged by ubiquitin to be degraded enter the core through regulatory rings on either side of the cylinder.
clinical relevance: It plays an important role in antigen presentation to T lymphocytes as it degrades viruses and other molecules to small peptides.",,C,nan;783-626.PNG
Question 2,"Replacing alanine by which amino acid, will increase Uv absorbance of protein at 28onm wavelength?","a) Leucine
b) proline
c) Arginine
d) Tryptophan","Replacing alanine with tryptophan will increase Uv absorbance of protein at 28onm wavelength The amino acids which absorb 25o-29onm (maximum at 28onm) Uv light are Tryptophan (Maximum Absorption), Tyrosine, phenylalanine.",,D,
Question 3,vitamin B12 is found maximum in:,"a) Animal products
b) Green leafy vegetables
c) Roots and tubers
d) vegetarian diet","vitamin B12 is found maximum in animal products.
vitamin B12 or cobalamin is synthesized only by microorganisms. Thus, the only source of cobalamin for humans is animal products. It is not found in plant sources. Therefore, individuals who are strict vegetarians are usually at the risk of developing vitamin B12 deficiency.",,A,
Question 4,The process of apolipoprotein B48 synthesis involves which of the following?,"a) RNA alternate splicing
b) RNA editing
c) DNA editing
d) RNA interference","The process of apolipoprotein B48 synthesis involves RNA editing.
RNA editing is the process by which the coding sequence of the mRNA is changed before translation. As a result, the mRNA template differs from the DNA from which it was transcribed. This leads to the formation of a different protein. This occurs by insertion of additional uracils at the 3’ end of the mRNA and proceeds in 3’ to 5’ direction.
RNA editing in apoB synthesis:
• In the liver, the apoB gene is transcribed to mRNA which is then translated to apoB 1oo.
• In the intestine, the same apoB gene is transcribed to the same mRNA. But now, the mRNA undergoes editing by an enzyme cytidine deaminase which converts the cAA codon in the mRNA to UAA at a single specific site. This edited mRNA translates to apoB 48.",,B,nan;784-627.PNG
Question 5,A patient presents with a clinical scenario of obstructive jaundice. which of the following results can be seen on van den bergh's reaction?,"a) Direct positive
b) Indirect positive
c) Both positive
d) coproporphyrin","In a patient with obstructive jaundice , van der bergh reaction gives direct positive result due to conjugated hyperbilirubinemia .
van den Bergh reaction is used to determine the serum bilirubin level.
van den Bergh reaction is a colorimetric method to measure serum bilirubin. It is based on the formation of red azodipyrroles when diazotised sulfanilic acid reacts with bilirubin.
Interpretation:
• In the absence of methanol, the water-soluble conjugated bilirubin reacts rapidly with the reagent and is called direct bilirubin.
• In the presence of methanol, both conjugated and unconjugated bilirubin react, providing the total bilirubin.
• Unconjugated (Indirect) bilirubin = Total-direct bilirubin",,A,
Question 6,If the percentage of thymine residues in DNA is 28%. what is the percentage of cytosine?,"a) 28%
b) 44%
c) 36%
d) 22%","The percentage of cytosine in the DNA is 22%.
As per the chargaff's rule, in the DNA molecules, the concentration of deoxyadenosine (A) equals that of thymidine (T), and the concentration of deoxyguanosine (G) equals that of deoxycytidine (c). Therefore, A=T and G=c.
In the question, the concentration of thymine is given as 28%, therefore the concentration of adenine is also 28%, both of which add up to 56%. The remaining 44% (1oo-56) of the DNA consists of G-c base pairs. of which the guanine constitutes 22% and the cytosine constitutes another 22%.",,D,
Question 7,Enzyme activated by a decrease in insulin: glucagon ratio is:,"a) Glucokinase
b) Hexokinase
c) phosphofructokinase
d) Glucose 6-phosphatase","Enzyme activated by a decrease in insulin: glucagon ratio is glucose 6-phosphatase.
A decrease in insulin: glucagon ratio is seen in fasting state, in which there is the activation of gluconeogenesis and inhibition of glycolysis.
Among the given options, only glucose 6-phosphatase is an enzyme of gluconeogenesis and therefore is activated. The enzymes mentioned as other options are irreversible enzymes of glycolysis and are inhibited in the fasting state.",,D,nan;785-628.PNG
Question 8,"A patient presented with symptoms of peripheral neuropathy and macrocytic anemia. she was given folate 5mg and the blood picture improved. However, the neurologic manifestations were aggravated. what is the most likely cause?","a) Malabsorption of folate
b) Treatment with folate unmasking pyridoxine deficiency
c) Deficiency of folate reductase in cNS
d) Folate therapy using the B12 stores","The most likely cause is folate therapy which used up the B12 stores, aggravating the symptoms.
Administration of folic acid for patients with macrocytic anemia can partially reverse the hematologic abnormalities associated with vitamin B12 deficiency. However, the neurologic manifestations of vitamin B12 deficiency are not treated by folic acid.
Administration of folic acid to an individual with vitamin B12 deficiency can potentially mask untreated vitamin B12 deficiency or even worsen the neurologic complications. Hence, testing for and/or treatment of vitamin B12 deficiency is required in all patients being treated with folic acid.",,D,nan;786-630.PNG
Question 9,which of the following is true regarding non-competitive inhibition?,"a) constant km and increased vmax
b) constant km and decreased vmax
c) Decreased km and decreased vmax
d) Decreased km and increased vmax","Noncompetitive inhibition has constant km and decreased vmax.
Noncompetitive inhibition occurs when the inhibitor binds at a site different from the substrate-binding site. The structure of the inhibitor does not resemble that of the substrate and the inhibitor does not affect the binding of the substrate.",,B,nan;786-629.PNG
Question 10,"A patient came to the hospital with complaint of abdominal pain. Routine investigations were unremarkable. on observation, the urine turned black on standing. which of the following enzymes is likely to be defective in this patient?","a) Homogentisate oxidase
b) xanthine oxidase
c) phenylalanine hydroxylase
d) Dihydro oratate dehydrogenase","urine turning black on exposure to air is suggestive of alkaptonuria which occurs due to the defect in homogentisate oxidase enzyme.
Alkaptonuria is a disorder of tyrosine metabolism, that develops due to the defect in homogentisate oxidase, which oxidizes homogentisate to maleylacetoacetate. The defect in this enzyme leads to the accumulation of homogentisate, which is then excreted in the urine. The excreted homogentisate gets oxidized when exposed to the air and causes the urine to turn black.
In some cases, the excessive homogentisate may get oxidized to benzoquinone acetate, which binds to the connective tissue. This leads to arthritis and pigmentation of the connective tissue, a condition called ochronosis.
other options:
option B: xanthine oxidase deficiency results in hypouricemia, xanthinuria, and xanthine lithiasis.
option c: Defects in phenylalanine hydroxylase can lead to phenylketonuria characterised by hyperreflexia, seizures, hypopigmentation, low IQ, hyperactivity, and tremors.
option D: Defects in dihydroorotate dehydrogenase are rarely seen in clinical practice. Miller syndrome is associated with this defect.",,A,
