number,question,options,solution,image_q,answer_key,image_a
Q1,A resident doctor gets pricked with a needle while attending an HIV positive patient. The regimen to be given is?,"a)zidovudine + Lamivudine
b)zidovudine + Lamivudine + Nevirapine
c)zidovudine + Lamivudine + Indinavir
d)zidovudine + Nevirapine","Amongst the given options, a three-drug combination of zidovudine+Lamivudine+Indinavir is preferred.
Three drug combination is preferred as per the US Public health service guidelines, WHO guidelines, and MOHFW 2020 guidelines.
A PEP regimen for HIV should have Lamivudine + Tenofovir + Lopinavir/ritonavir to be taken for 4 weeks after exposure. It should ideally be started within 2 hours and definitely within 72 hours. Here as the Lopinavir/ritonavir is not part of the options, one can choose, the indinavir-based
combination as the best of the available options.
Nevirapine is not preferred for use in PEP. Previous NACO 2018 guidelines mentioned the use of
2 drug combinations but it is no longer preferred.
Exposures that may warrant occupational PEP include:
• Parenteral or mucous membrane exposure (splashes to the eye, nose, or oral cavity)
• The following bodily fluids may pose a risk of HIV infection: blood, blood-stained saliva, breast-milk, genital secretions, and cerebrospinal, amniotic, rectal, peritoneal, synovial,    pericardial, or pleural fluids.
Exposures that do not require PEP include:
• When the exposed individual is already HIV-positive
• When the source is established to be HIV-negative
• Exposure to bodily fluids that do not pose a significant risk: tears, non-blood-stained saliva, urine, and sweat.
To ensure no transmission has occurred, follow-up with HIV antibody testing should be done for at least 6 months post-exposure (e.g. at baseline, 6 weeks, 3 months, and 6 months).
Note: This is an AIIMS 2020 recall question. It may not reflect the latest guidelines. kindly refer to the attached pearl for the same.",,C,
Q2,Airborne transmission precaution is necessary for all of the following except:,"a)Tuberculosis
b)Herpes zoster
c)Measles
d)chicken Pox","Measles, Tuberculosis, and chickenpox require airborne transmission precaution as does the disseminated herpes zoster.



The patient should be made to wear a mask for source control. A fit-tested NIOSH-approved N95 or higher level respirator should be used by the healthcare personnel whilst care delivery.
CDC recommends the display of signs similar to the one below in room doors of patients with the above conditions:",,B,2435-1567.PNG
Q3,The maternal mortality ratio is defined as?,"a)Maternal Deaths per 1o,ooo live births
b)Maternal Deaths per 1oo,ooo live births
c)Maternal Deaths per 1o,ooo women in reproductive age group
d)Maternal Deaths per 1oo,ooo women in reproductive age group","Maternal mortality ratio is defined as the number of maternal deaths per 1oo,ooo live births during a given time period.
Maternal mortality rate is the number of maternal deaths per 1oo,ooo women of reproductive age in a given time period.",,B,
Q4,what is the dosage of iron and folic acid for adult women under the Anemia Mukth Bharath initiative?,"a)6o mg elemental iron + 5oo mcg folic acid daily
b)6o mg elemental iron + 5oo mcg folic acid weekly
c)1oo mg elemental iron + 5oo mcg folic acid weekly
d)1oo mg elemental iron + 5oo mcg folic acid daily","According to the Anemia Mukt Bharat initiative, adult women need to take 6o mg elemental iron + 5oo mcg folic acid tablets once a week. These tablets are sugar-coated, and red in color.",,B,
Q5,which of the following is true regarding nikshay poshan yojana?,"a)Rs 5oo is given per week
b)Rs 5oo is given per month
c)Mid day meals are given
d)Dietary advice is given","under nikshay poshan yojana, a financial incentive of Rs.5oo per month is provided for nutritional support to each notified TB patient for the duration of anti-TB treatment.
For pediatric TB patients who do not have bank accounts, the money shall be deposited in
parent's/guardian's accounts whose details are to be sought and entered in nikshay against the patient’s records.
The processing of payment is on the 7th of every month.",,B,
Q6,Diphtheria vaccine is a:,"a)Polysaccharide vaccine
b)Toxoid
c)Killed vaccine
d)Live attenuated vaccine","Diptheria vaccine is a toxoid.
Toxoids: certain organisms like diphtheria and tetanus bacilli produce exotoxins. The toxins produced by these organisms are detoxicated and used in the preparation of vaccines.
The antibodies produced to neutralize the toxic moiety produced during infection, rather than acting upon the organisms. In general, toxoid preparations are highly efficacious and
safe immunizing agents.",,B,
Q7,Under RBSK screening which one of the following diseases is not covered?,"a)congenital cataract
b)congenital glaucoma
c)ROP
d)vitamin A deficiency","All of the above conditions are included in child health screening &amp; early intervention services under RBsK (Rashtriya Bal swasthya Karyakram) except congenital glaucoma.
The RBsK aims at the universal screening of the 4 ‘D’s i.e Defects at birth, Deficiencies, Diseases, Developmental delays including disabilities that would lead to early identification, timely
management, and ultimately a reduction in morbidity, mortality, and lifelong disability in children.
Health conditions selected for the child (o-18 years) health screening and early intervention services are:
Defects:
• Neural tube defect
• Down’s syndrome
• cleft lip and palate
• Talipes
• Developmental dysplasia of the hip
• congenital cataract, congenital deafness, congenital heart disease
• Retinopathy of prematurity
Deficiencies:
• Anemia especially severe anemia
• vitamin A deficiency
• vitamin D deficiency
• severe acute malnutrition
• Goitre
Diseases:
• scabies, fungal infections, and eczema



• otitis media
• Rheumatic heart disease
• Reactive airway disease
• Dental caries
• Convulsive disorders
Developmental delays and disabilities:
• vision, hearing, and neuro-motor impairment
• Motor, cognitive and language delay
• Autism
• Learning disorder
• Attention deficit hyperactivity disorder",,B,
Q8,The serum level of tetanus antitoxin that gives clinical protection is?,"a)&gt;o.1 IU/ml
b)&gt;o.o1 IU/ml
c)&gt;o.oo1 IU/ml
d)&gt;o.ooo1 IU/ml","The serum level of tetanus antitoxin that gives clinical protection is o.o1 IU/ml.
Tetanus is best prevented by tetanus toxoid. It provides active immunization by stimulating the production of protective antitoxin. vaccination should be aimed at maintaining the serum
protective level of antitoxin (approximately o.o1 IU/ml) throughout life and covering
the entire community.",,B,
Q9,which of the following is true about the reference woman used in the calculation of the recommended daily allowance (RDA)?,"a)weight 55 kgs
b)Height 1.73 m
c)works 1o hours/day
d)Age of 18-25 years","The reference woman used in the calculation of recommended daily allowance (RDA) weighs      about 55 kgs and is aged between 19-39 years, nonpregnant, non-lactating with a height of 1.61 meters, and a BMI of 21.2, is free from disease and physically fit for active work.
on each working day, she must be engaged in 8 hours of occupation/work, which usually
involves moderate activity. when not at work she spends 8 hours in bed, 4-6 hours in sitting and moving about, 2 hours in walking, and in active recreation or household duties.",,A,
Q10,which of the following methods is not effective against preventing the spread of COVID 19?,"a)Face mask
b)1% glutaraldehyde
c)7o% alcohol
d)Hand washing","1% glutaraldehyde is not effective against preventing the spread of CovID 19.
Effective everyday practices that prevent the spread include actions like keeping a social distance (at least 6 feet) from others, washing your hands with soap and water for 2o seconds or using a    hand sanitizer with at least 7o% alcohol, and wearing a face mask when you have to go out in
public.",,B,
