number,question,options,solution,image_q,answer_key,image_a
Q1,"A 16-year-old girl, who is taking antiepileptics, has had a seizure-free period of 6 months. she has no family history of epilepsy. Her EEG is now normal and she has a normal neurological   exam and intelligence. what would your advice be?","a)stop the treatment and follow up
b)Gradually taper the drug and stop treatment
c)continue treatment for another 18 months
d)continue lifelong treatment with antiepileptics","In the given clinical scenario of a girl on antiepileptics for 6 months with no further seizures, no family history, normal EEG, neurological examination, and intelligence, antiepileptics should be continued for another 18 months since she’s already taken for 6 months (minimum 2 years) to    prevent seizure recurrence.
Anti-epileptic drugs withdrawal is considered only when an adult patient has been seizure-free for
≥2 years along with the following criteria:
• Normal CNS examination including intelligence
• Normal EEG and normal MRI



• single seizure type
• No family history of epilepsy.
It is preferable to reduce the dose of the drug gradually over 2–3 months.
other options:
option A: sudden cessation of drug therapy may cause recurrence of seizure hence not advised.
option B: The patient has a seizure-free interval of only 6 months and therefore, is not yet eligible for considering medication withdrawal.
option D: Life-long treatment is not necessary in this case as the patient meets all the
above-mentioned criteria for drug withdrawal after 2 years.
Note: Juvenile myoclonic epilepsy (JME), the most common idiopathic generalized epilepsy syndrome is known to have a high risk of seizure recurrence, and hence antiepileptics are     continued lifelong in a majority of patients.",,C,
Q2,AKIN and RIFLE criteria are used to classify,"a)Acute kidney injury
b)chronic renal failure
c)Acute glomerulonephritis
d)Nephrotic syndrome","AKIN and RIFLE criteria are used to classify acute kidney injury (AKI).
The various classifications used in AKI are:
• RIFLE criteria (Risk, Injury, Failure, Loss, End-stage)
• AKIN (AKI Network) classification
• KDIGo (Kidney Disease Improving Global outcomes) classification
RIFLE, AKIN, KDIGo definitions of AKI:
RIFLE, AKIN, KDIGo staging of AKI:

	RIFLE	AKIN	KDIGo
s. creatinin e	>5o% increase that develops in <7 days	>o.3 mg/dl increase or >5o% increase that develops in <48 hr	>o.3 mg/dl increase or >5o% increase that develops in <7   days
urine outp ut	<o.5ml/kg/hr for >6 hr	<o.5ml/kg/hr for >6 hr	<o.5ml/kg/hr for >6 hr
			

RIFL E	Increase in s.creatinine	AKIN	Increase in s.creati nine	KDIG o	Increase in s.creati nine	urine output
Risk	≥5o%	stage 1	≥o.3mg/dl or ≥5o%	stage 1	≥o.3mg/dl or ≥5o%	<o.5mL/kg/hr for >6h
Injur y	≥1oo%	stage 2	≥1oo%	stage 2	≥1oo%	<o.5mL/kg/hr for >12 hr
Failu re	≥2oo%	stage 3	≥2oo%	stage 3	≥2oo%	<o.3mL/kg/hr for >24hr or anuria >12hr




RIFL E	Increase in S.creatinine	AKIN	Increase in S.creati nine	KDIG o	Increase in S.creati nine	urine output
Loss	Need for renal replacem ent therapy (RRT)>4 we eks					
End-s
tage	Need RRT for >3 month s",,A,
Q3,which of the following statements about polycythemia vera is true?,"a)Risk of thrombosis strongly correlates with the degree of thrombocytosis
b)Generalized pruritus is a consequence of mast cell activation by JAK 2 mutation
c)It is protective against H.pylori infection
d)Acute myeloid leukemia is the most common cause of mortality","Generalized pruritus seen in polycythemia vera (pv) is a consequence of the activation of mast cells by JAK 2 mutation.
other options:
option A: The risk of thrombosis strongly correlates with erythrocytosis, not the degree of thrombocytosis.
option C: In polycythemia vera, there is an increased risk of H.pylori infection.
option D: Thrombosis is the major cause of mortality in polycythemia vera. The incidence of acute leukemia in patients not exposed to chemotherapy or radiation therapy is low.
pv is a clonal hematopoietic stem cell disorder in which red cells, granulocytes &amp; platelets    accumulate in the absence of a physiological stimulus. The most common mutation seen in pv is the JAK2 mutation.
Clinical features of polycythemia vera are:
• Thrombosis is the most common manifestation and is the major cause of mortality.
uncontrolled erythrocytosis causes increased viscosity of the blood causing thrombosis of the
vessels. patients may present with stroke, transient ischemic attacks, myocardial infarction, and Budd-Chiari syndrome.
• Aquagenic pruritis is generalized itching following a warm bath or a shower due to increased mast cells and histamine.
• Erythromelalgia is erythema and pain in the fingers, hands, and feet due to increased platelet stickiness.
• Splenomegaly due to increased destruction of RBCs in the spleen
• Gout is due to the excessive proliferation of the marrow cells leading to elevated uric acid levels.",,B,
Q4,All of the following are the core clinical features for the diagnosis of Lewy body dementia except:,"a)Fluctuating cognition
b)Recurrent visual hallucination
c)REM sleep behavior disorder
d)Orthostatic hypotension","orthostatic hypotension is not a core clinical feature of Lewy body dementia (LBD) as per DSM-5.
LBD also known as dementia with Lewy bodies is the second most type of progressive dementia   after Alzheimer’s disease. protein deposits, called Lewy bodies, deposit in nerve cells in the brain region involved in thinking, memory, and movement (motor control)



Core features of LBD as per DSM-5 are fluctuating cognition, attention, alertness, recurrent visual hallucination, and Parkinsonian symptoms. Suggestive features are REM sleep behavior disorder   and severe neuroleptic sensitivity.
Orthostatic hypotension, erectile dysfunction, and constipation are other features of LBD.
Treatment of LBD includes rivastigmine and donepezil which may improve cognition, and reduce hallucinosis and delusion. Pimavanserin may be used to treat psychosis.",,D,
Q5,"A 68-year-old male admitted to the ICU for acute exacerbation of COPD develops a sudden
onset of palpitations. The following ECG changes are seen. what is the most likely diagnosis?","a)ventricular tachycardia
b)Multifocal atrial tachycardia
c)Atrial fibrillation
d)Atrial tachycardia","The given clinical scenario of a COPD patient in ICU developing palpitations and the ECG
showing narrow QRS complex (&lt;o.12 s) tachycardia with more than three different P wave morphologies, points to the diagnosis of multifocal atrial tachycardia (MAT).
Multifocal atrial tachycardia (MAT) is characterized by at least 3 distinct P wave morphologies (shown by arrows in the image) with rates typically between 1oo and 15o beats/min.
It is usually encountered in patients with chronic pulmonary disease and acute illness. The clinical features are most commonly related to the underlying precipitating illness (COPD in this case).
Unlike atrial fibrillation, there are clear isoelectric intervals between P waves.
Treating the underlying disease and correcting any metabolic abnormalities is the mainstay of treatment. Electrical cardioversion has no effect.
The calcium-channel blockers verapamil or diltiazem may slow the atrial and ventricular rate.
MAT may respond to amiodarone, but long-term therapy with this agent is usually avoided due to its toxicities, particularly in pulmonary fibrosis.",4151-2662.PNG,B,
Q6,"A patient has recurrent optic neuritis of both eyes with extensive transverse myelitis. visual acuity in the right eye is 6/6o and visual acuity in the left eye 6/18. The patient showed a
partial response to steroids. what is the likely diagnosis?","a)Neuromyelitis optica
b)subacute combined degeneration of spinal cord
c)Posterior cerebral artery stroke
d)Neurosyphilis","The given clinical scenario of a patient with recurrent optic neuritis of both eyes with extensive    transverse myelitis, showing partial response to steroids points to the diagnosis of neuromyelitis optica (NMO), also known as Devic’s disease.
It is an aggressive inflammatory demyelinating disorder characterized by recurrent attacks of
optic neuritis and myelitis. Attacks of optic neuritis can be bilateral or unilateral and myelitis can be severe and involve three or more contiguous vertebral segments.
The core clinical characteristics include optic neuritis, acute myelitis, area postrema syndrome
with episodes of otherwise unexplained hiccups or nausea or vomiting, acute brainstem
syndrome, symptomatic narcolepsy or acute diencephalic clinical syndrome with NMOSD-typical  diencephalic MRI lesions and symptomatic cerebral syndrome with NMOSD-typical brain lesions.
Acute attacks of NMO are treated with high-dose glucocorticoids. Plasma exchange can be used in acute attacks that do not respond to glucocorticoids.
Drugs used for prophylaxis against relapses include mycophenolate mofetil, rituximab,
glucocorticoids, and azathioprine. Three monoclonal antibodies approved for attack prevention include eculizumab (terminal complement inhibitor), inebilizumab (B-cell depleter), and



satralizumab (IL-6 receptor blocker).",,A,
Q7,Deep y descent in JVp is seen in all except:,"a)cardiac tamponade
b)Restrictive cardiomyopathy
c)constrictive pericarditis
d)Tricuspid regurgitation","The y-descent in jugular venous pulse (JVP) corresponds to the fall in right atrial pressure after the tricuspid valve opening in the early diastolic phase of the right ventricle. Y-descent is
attenuated or absent in cardiac tamponade because of resistance to ventricular filling in the early diastole.
other options:
options B and C: Restrictive cardiomyopathy and constrictive pericarditis can have deep y descent due to rapid filling of the right ventricle during early diastole.
option D: In patients with tricuspid regurgitation, increased blood flow to the right atria through the incompetent tricuspid valve during ventricular systole results in a prominent v wave. when     the tricuspid valve opens during ventricular diastole, this increased blood in the right atria enters rapidly into the right ventricle during early diastole resulting in deep y-descent.",,A,
Q8,Tigroid white matter on MR imaging is seen in which of the following conditions?,"a)pantothenate kinase deficiency
b)pelizaeus-Merzbacher disease
c)Neuroferritinopathy
d)Aceruloplasminemia","Tigroid white matter on MR imaging is seen in Pelizaeus-Merzbacher disease.
It is a rare, X-linked recessive disorder characterized by central nervous system dysmyelination. The proteolipid protein gene (PLP1) is affected, leading to the failure of axon myelination by
oligodendrocytes in the central nervous system.
Clinical Features:
• Nystagmus
• Developmental delay
• Psychomotor delay
• seizure
• stridor
• Feeding difficulties
• Ataxia
• Hypotonia progressing to spasticity.
The degree of dysmyelination is correlated with the severity of the clinical manifestations.
Genetic analysis can confirm the diagnosis. MRI shows a lack of myelination and MR
spectroscopy reveals aberrant N-acetyl aspartate (NAA) and choline concentrations that reflect axonal and myelination abnormalities.
unlike other demyelinating leukodystrophies such as metachromatic leukodystrophy and
adrenoleukodystrophy, where myelin is formed but subsequently destroyed, PMD shows a failure



of myelin formation.",,B,
Q9,All of the following characteristics are found in the pleural effusion fluid of a rheumatoid arthritis patient except:,"a)RA factor
b)High glucose
c)cholesterol crystals
d)High LDH","Low glucose (&lt;6o mg/dL) is seen in the pleural effusion fluid of a patient with rheumatoid arthritis (RA).
RA causes exudative pleural effusion and fulfills the Light’s criteria. High LDH and RA factor are   found in the pleural fluid of RA patients. Less commonly, patients with RA may have a cholesterol effusion. It is sterile and has a milky or opaque appearance. The milky appearance is due to the
presence of cholesterol crystals and an elevated cholesterol level.
Light’s criteria is used to distinguish between exudative and transudative pleural effusions. An exudative pleural effusion satisfies at least one of the following criteria:
• pleural fluid protein/serum protein &gt; o.5
• pleural fluid LDH / serum LDH &gt; o.6
• pleural fluid LDH more than 2/3rds upper limit of normal for serum",,B,4164-2668.PNG
Q10,what is the most common pulmonary manifestation of SLE?,"a)Shrinking lung syndrome
b)pleuritis
c)Intra alveolar hemorrhage
d)Interstitial inflammation","The most common pulmonary manifestation of SLE is pleuritis, with or without pleural effusion. The most common manifestations of different systems involved in SLE are:
• Musculoskeletal- arthritis and arthralgia
• Skin- photosensitivity
• kidneys- proteinuria
• Neurologic- cognitive impairment



• cardiac- pericarditis
• pulmonary- pleuritis
• Hematologic- anemia",,B,
