number,question,options,solution,image_q,answer_key,image_a
Q1,A kinyoun positive oocyst (25 µm) was isolated from an HIV patient with diarrhea. Identify the organism.,"a)cystoisospora
b)cyclospora
c)cryptosporidium
d)Microspora","Diarrhea in an HIV patient is suggestive of a coccidean parasitic infestation. kinyoun stain positive oocysts in the image are identified as cystoisospora.
points in favor:
• HIV patient with diarrhea
• oocysts are long and oval-shaped, which stain pink to red with kinyoun staining.
comparison of coccidian parasites causing diarrhea in an immunocompromised host:

property	cryptosporidium	cyclospora	cystoisospora
sporulated oocyst	4-6 µm, round,  contains f our sporozoites	8-12 µm, round, contains 2 sporocyst each having t wo sporozoites	23-36 µm, oval, contain t  wo sporocysts, each havin g four sporozoites.
Acid-fast detection	uniformly acid-fast	Variable acid-fast	uniformly acid-fast
sporulation of the ooc yst	occurs inside the host cell	occurs in soil	occurs in soil


property	cryptosporidium	cyclospora	cystoisospora
Diagnostic form	sporulated cyst	unsporulated cyst	unsporulated oocyst


Modified acid-fast staining (like kinyoun stain) showing oocysts of cyclospora cayetanensis.


Modified acid-fast staining (like kinyoun stain) showing oocysts of cryptosporidium species.  In immunocompromised patients, the infection causes severe diarrhea similar to cholera and require hospitalization.
The diagnosis is made with stool microscopy. The cyst wall and sporoblasts are dyed red with the ziehl–Neelsen (warm) or kinyoun (cold) staining methods. Both methods have good specificity     and therefore are useful as confirmatory tests.
The treatment is fluid replacement and cotrimoxazole.",1360-822.PNG,A,1372-834.PNG;1372-833.PNG
Q2,"The test shown below, which uses a bacitracin disk, is useful in identifying ____________.","a)staphylococcus aureus
b)streptococcus pyogenes
c)clostridium botulinum
d)Bacillus","The given image shows blood agar culture with bacitracin disk with a zone of inhibition around the disk, which means that the organism is sensitive to bacitracin.
Among the options given, streptococcus pyogenes is susceptible to bacitracin.
streptococci belonging to group A are identified (presumptively) by inhibition of growth by bacitracin.",1361-823.PNG,B,
Q3,what is the incubation period of lymphogranuloma venereum?,"a)1-5 days
b)7-1o days
c)1o-3o days
d)3o-6o days","The incubation period of Lymphogranuloma venereum ranges from 1o-3o days.
chlamydia trachomatis serovars L1, L2, and L3 cause lymphogranuloma venereum (LGV). The   most common presentation is the inguinal syndrome, which is characterized by painful inguinal lymphadenopathy.",,C,
Q4,which is the agent used to treat the infection caused by the cestode egg in the image?,"a)praziquantel
b)Ivermectin
c)Albendazole
d)Diethylcarbamazine","The egg in the image is of Hymenolepis nana (dwarf tapeworm) and it is treated by
praziquantel (5–1o mg/kg once).
The egg is oval, colorless, non-bile stained, and has a single shell with two distinct membranes.
Inner membrane has two small knobs or poles from which 4 to 8 polar filaments arise and spread out between the two membranes. It is embryonated and the oncosphere has six hooks (three pairs of hooklets).
Life cycle of Hymenolepis nana:


Hymenolepiasis is the most common of all the cestode infections and is usually asymptomatic.",1362-824.PNG,A,1373-835.PNG
Q5,Human herpesvirus 8 is associated with all except ______.,"a)kaposi sarcoma
b)castleman’s disease
c)Adult T-cell leukemia
d)primary effusion lymphoma","Adult T-cell leukemia is caused by HTLV-1 (and not HHV8).
Human Herpesvirus 8 (HHV8), also known as kaposi sarcoma-associated herpesvirus (kSHV), is lymphotropic virus and is closely related to Ebstein–Barr virus (EBV).
Diseases caused by HHV:
• kaposi sarcomas
• Vascular tumors of mixed cellular composition
• Body cavity-based lymphomas occurring in AIDS patients (primary effusion lymphoma)
• Multicentric castleman disease",,C,
Q6,Identify the condenser in the following image.,"a)Above the stage
b)Below the stage
c)Near the eyepiece
d)Above the objective lenses","This is a modern compound microscope, and the condenser is located below the stage.


The purpose of the condenser lens is to focus the light from the illuminator onto the specimen. Microscopes with a stage condenser lens render a sharper image than those with no condenser lens.
The simple microscope was invented first by Antonie van Leeuwenhoek, the father of microscopy and microbiology. It uses 1 lens for magnification. The compound microscope, introduced by
Hans and zacharias Janssen uses 2 lenses, an objective lens and an eyepiece, to provide better magnification power than the simple microscope.",1363-826.PNG,B,1374-836.PNG
Q7,The following test is positive for identification of________,"a)candida albicans
b)candida glabrata
c)Candida parapsilosis
d)Candida tropicalis","The image shows the germ tube test used for identifying Candida albicans.
Candida species, when cultured, grow as oval, budding yeast cells with pseudohyphae. Unlike
other species of candida, Candida albicans can also produce true hyphae or germ tubes. This can be demonstrated after incubation in serum maintained at 37°C for about 9o minutes. This is
known as the Reynolds-Braude phenomenon. This test is positive for Candia dubliniensis as well. Another distinguishing feature of C. albicans is that it produces large, spherical chlamydospores   on nutritionally deficient media.",1363-825.PNG,A,
Q8,Choose the correct statement regarding CMV.,"a)Ganciclovir resistance is due to mutation in UL97 phosphotransferase gene
b)CMV can be cultured in vitro in any mammalian cell
c)Commonest manifestation of CMV associated disease is watery diarrhea
d)UL54 mutated CMV strains do not show cross resistance to foscarnet","Resistance to ganciclovir most commonly occurs due to mutations in the UL97
phosphotransferase gene.
Cytomegalovirus (CMV) is a beta-herpes virus. It is the most common congenital infection. In
adults, its disease is mostly subclinical (option C). An apparent CMV infection resembles
infectious mononucleosis (fever, sore throat, enlarged lymph nodes and splenomegaly). It is the   most common infection in the donor organ seen 1-4 months after solid organ transplantation. In immunosuppressed hosts, it causes pneumonia and colitis.
Diagnosis is by PCR assays. Human CMV replicates in vitro only in human fibroblasts (option B) and can thus be cultured in them, although the virus is often isolated from epithelial cells of the  host. The cultured fibroblasts show owl-eye inclusion bodies after 2-3 weeks.
UL54 (DNA polymerase) gene mutations can confer CMV resistance to ganciclovir, cidofovir and foscarnet (option D).",,A,
Q9,"Solvent/Detergent (SD) plasma destroys lipid-enveloped viruses. So, on SD plasma transfusion, which of the following infection is likely to occur?","a)Human Immunodeficiency Virus (HIV)
b)Hepatitis A Virus (HAV)
c)Hepatitis B Virus (HBV)
d)Hepatitis C Virus (HCV)","Solvent detergent plasma is a form of blood plasma made from plasma collected from many
people which is then processed with solvents to try to get rid of viruses. HAV is a non-enveloped virus, and hence it s not affected by solvent/detergent (SD) plasma.
only the viruses with an envelope are susceptible to SD plasma destruction.
Hepatitis B, C, and HIV are enveloped.",,B,
Q10,plasma sterilization makes use of_____________.,"a)Hydrogen peroxide
b)Ethylene oxide
c)Gamma rays
d)UV rays","A variety of hydrogen peroxide gas  based processes that use plasma as part of the sterilization process are known as ""plasma sterilization.""
The mechanisms of antimicrobial action in these processes are primarily due to hydrogen
peroxide gas (or condensed gas) and not plasma, although the plasma generation phase of these processes is known to assist in the breakdown of residual peroxide in the chamber load.",,A,
