number,question,options,solution,image_q,answer_key,image_a
Q1,The remnants of wolffian ducts in females are located in________.,"a)Pouch of Douglas
b)Leaves of broad ligament
c)uterovesical pouch
d)Iliac fossa","The Gartner's duct is a remnant of the wolffian ducts in women. These are located in the broad ligament and the vagina.
The Gartner's duct is an embryological remnant of the mesonephric duct/wolffian duct formed
during the development of the urinary and reproductive organs. It runs parallel to, but below, the fallopian tube in the mesosalpinx. The duct passes downwards by the side of the uterus to the
level of the internal os where it passes into the tissues of the cervix. It then runs forwards to reach the anterolateral aspect of the vaginal wall and may reach as far down as the hymen.
The duct can sometimes form a cyst in the broad ligament or in the vagina. It is called Gartner’s cyst. It is a benign condition and can be treated with marsupialization.",,B,5963-3737.PNG
Q2,In which part of the fallopian tube does fertilization occur?,"a)Ampulla
b)Isthmus
c)Interstitial
d)Infundibular","Fertilization usually occurs in the ampulla of the fallopian tube.
During ovulation, the ovum is released and it enters the fallopian tube. It is propelled towards the uterine cavity by the peristaltic action of the fallopian tubes, prostaglandins in the male seminal     fluid and oxytocin. It can only be fertilized within 24 hours of ovulation.  If coitus takes place
during this period, the spermatozoa swimming up into the tubes meet the ovum in the ampulla.",,A,
Q3,"A patient came to the gynaecology OPD with complaints of foul-smelling frothy vaginal discharge and intense itching. On examination, the cervix was spotted and had the
appearance of a strawberry. Identify the causative organism.","a)Trichomonas vaginalis
b)Gardnerella vaginalis
c)Neisseria gonorrhoea
d)candida albicans","In the given clinical scenario, Trichomonas vaginalis is the likely causative agent.
vaginal itching and foul-smelling frothy vaginal discharge are seen in trichomonas vaginitis.
The given image shows colpitis macularis or strawberry cervix, which is a characteristic finding of trichomoniasis. This is due to microscopic, punctate haemorrhages of the cervix.",,A,5964-3738.PNG
Q4,Identify the contraceptive shown in the given image.,"a)Male condom
b)Female condom
c)Diaphragm
d)cervical cap","The given image shows a female condom. It consists of a pouch made of polyurethane which is 17 cm in length with a flexible ring at each end. The inner ring at the closed end is smaller than the   outer ring.
The inner ring is inserted at the apex of the vagina and the outer ring remains outside. It covers     the cervix, the entire vagina, and external genitalia. Hence, it provides protection against HIV and STDs. It has a failure rate of 5–15 per 1oo woman-years, which is higher than that of a male
condom.
It can be fitted by the patient hours before intercourse, and easily removed soon after. It covers
the cervix, vagina, and external genitalia and is protective against sexually transmitted diseases. It can also be worn in the puerperal period, unlike the cervical diaphragm.
The female condom should not be used along with a male condom because if worn together they may slip, tear, or become displaced.
The given image below shows the insertion of a female condom:",5953-3731.PNG,B,5965-3739.PNG
Q5,A woman presents to the oPD with complaints of amenorrhoea for the past year. she has a history of postpartum hemorrhage and lactational failure. what is the probable diagnosis?,"a)sheehanls syndrome
b)Rotor syndrome
c)Prolactinoma
d)Acromegaly","The clinical scenario points to a diagnosis of sheehan's syndrome.
sheehan's syndrome (ss) is postpartum hypopituitarism secondary to the necrosis of the pituitary gland. It usually results from severe hypotension or shock caused by massive hemorrhage during   or after delivery. patients with ss have varying degrees of anterior pituitary hormone deficiency.   The hyperplastic enlargement of the pituitary, which occurs normally during pregnancy, increases the risk of infarction.
Affected women may have persistent hypotension, tachycardia, hypoglycemia, and lactation failure. The most prominent symptoms are lactation failure (due to a deficiency of
prolactin) and postpartum amenorrhea (due to a deficiency of gonadotropins). Because
deficiencies of some or all pituitary-responsive hormones may develop after the initial insult, sheehan syndrome can be heterogeneous and may not be identified for years.
It can present acutely as pituitary apoplexy, an endocrine emergency, characterized by a sudden onset of headache, nausea, visual deficits, and in severe cases,
severe hypoglycemia, hypotension and shock, CNs hemorrhage, and death.
Also, it can present late with the following features:
• Loss of pubic and axillary hair
• Hypothyroidism due to decreased TsH secretion
• Adrenal insufficiency due to low ACTH
Treatment is by hormone replacement - first glucocorticoids, later - thyroid hormone, sex steroids, vasopressin and growth hormones are given. If there is evidence of progressive visual loss, cranial nerve involvement or loss of consciousness, immediate surgical decompression must be carried
out. Fertility can be achieved in these women with hMG and hCG. Clomiphene is ineffective.
option B: Rotor syndrome is a type of hereditary hyperbilirubinemia with autosomal recessive inheritance. Affected individuals have mild jaundice and hyperbilirubinemia.



option C: prolactinoma or pituitary adenoids is the condition of hyperprolactinemia diagnosed by a prolactin level &gt;2oo μg/L. It usually presents with infertility, amenorrhea, and galactorrhea.
option D: Acromegaly is characterized by the signs and symptoms pertaining to excessive growth hormone secretion.",,A,
Q6,"An 18-year-old girl presents with a history of low-grade fever, weight loss, abdominal pain  and amenorrhoea for six months. on examination, a pelvic mass is felt on the left side and signs of ascites are positive. what is your diagnosis?","a)Tuberculosis with tubo-ovarian mass
b)ovarian malignancy
c)Ectopic pregnancy
d)submucous fibroid","The given clinical scenario with abdominal pain, amenorrhoea, pelvic mass and ascites is suggestive of genital tuberculosis.
Genital tuberculosis:
It is caused by M. tuberculosis and almost always occurs secondary to primary infection elsewhere in the extragenital states. The sites and frequency of involvement are as follows:
• Fallopian tubes (9o-1oo%)
• Endometrium (5o-6o%)
• ovaries (2o-3o%)
• Cervix (5-15%)
• vulva and vagina (&lt; 1%)
presentation is variable and it can be asymptomatic in 1o-2o% of cases, infertility, menstrual
irregularities, abdominal pain and mass, vaginal discharge, fistula formation, ectopic pregnancy
and ascites. The mass is made up of rolled-up omentum that is adherent to the uterus and adnexa.
Constitutional symptoms such as fever, weakness, anorexia or night sweats may be present.
Investigations:
• CBC, ESR and Mantoux test
• Hysterosalpingography shows a lead-pipe appearance of the fallopian tube, calcification of the tube, beading and variation in the filling, cornual block, jagged fluffiness of tubal outline and
tobacco pouch appearance of hydrosalpinx and pyosalpinx.
• Laparoscopy establishes the diagnosis of genital TB. It shows tuberculous lesions and perihepatic adhesions (if present).
Differential diagnosis:
• ovarian cyst, broad ligament cyst or encysted fluid
• pelvic inflammatory disease
• Ectopic pregnancy
• Carcinoma cervix
• Elephantiasis of the vulva
• pregnancy
• puberty menorrhagia and postmenopausal bleeding



• Fungal infection and sarcoidosis Management:
It is treated with anti-tubercular therapy for 6 months (DoT strategy):
Indications and contraindications for surgery:
Types of surgery include vulvectomy (if vulval hypertrophy is present), removal of the adnexal mass, drainage of pyometra and fistula repair.
TAH+Bso is rarely required nowadays. Tuboplasty is contraindicated.
option B: ovarian tumors usually don't affect menstrual cycles. Though virilizing tumors can cause amenorrhoea, other features of virilization such as hirsutism, flattening of breasts, and enlargement of the clitoris are generally present.
option C: Though ectopic pregnancy may be suspected here, the tube is likely to rupture with   exacerbation of pain, bleeding, and peritonitis before six months of gestation. Additionally, the absence of vaginal bleeding/spotting, and the presence of weight loss makes the diagnosis
unlikely.
option D: submucous fibroid is associated with menorrhagia.

First 2 months	Next 4 months
Isoniazid 15 mg/ kg body wei ghtRifampicin 45o-6oo mgp yrazinamide 3o mg/body wei ghtEthambutol 3o mg/ kg bo dy weight3 times a week.	Isoniazid 15 mg/kg body weig htRifampicin 45o-6oo mg3 ti mes a week

Indications	Contraindications
unresponsiveness ofthe dise  ase in spite of adequate antit  ubercular chemotherapy.Tub  ercular pyosalpinx, ovarian a  bscess or pyometra.persisten  t menorrhagia and/or chronic pelvic pain causing deteriora ting health status	presence of active tuberculosi s in extragenital siteFavorabl  e response to antimicrobial t   herapy with the diminishing   size of the pelvic massThe ac  cidental discovery of tubercul ar tubo-ovarian mass on lapa  rotomy in a young patient.",,A,
Q7,"In modern obstetrics, which of the following investigations is used for monitoring the fetus of an Rh-negative sensitized mother?","a)Biophysical profile
b)Fetal blood sampling
c)Amniospectometry
d)McA doppler peak systolic velocity","MCA Doppler peak systolic velocity (psv) is used for the monitoring of fetuses in Rh-negative sensitized mothers.
The middle cerebral artery is used as other fetal vessels require a larger insonating angle and confers significant measurement error.
MCA psv is enhanced due to increased cardiac output and decreased viscosity of fetal blood, which permits the reliable, noninvasive detection of fetal anemia in cases of blood-group



alloimmunization.
If the MCA Psv exceeds 1.5 MoM (multiples ofthe median) and the gestational age is less than 34 or 35 weeks, fetal blood sampling should be considered. MCA Doppler Psv has replaced
amniocentesis as the preferred test for the detection of anemia.",,D,
Q8,what is the causative agent for granuloma inguinale?,"a)calymmatobacterium granulomatis
b)chlamydia trachomatis
c)ureaplasma urealyticum
d)Treponema pallidum","The causative agent for granuloma inguinale (donovanosis) is Calymmatobacterium
granulomatis. It is now called klebsiella granulomatis and is a gram-negative bacillus causing chronic ulcerative infection of the vulva.
It is highly contagious and transmitted through repeated sexual or non-sexual contact. The incubation period is 1-12 weeks.
Clinical features:
It begins as a painless nodule which later ulcerates to form multiple beefy red painless ulcers that tend to coalesce; the vulva is progressively destroyed, and minimal adenopathy may occur.
Diagnosis:
Microscopic examination of smears from the lesion/ biopsy specimens reveals pathognomonic     intracytoplasmic Donovan bodies and clusters of bacteria with a bipolar (safety pin) appearance. Blue-black stained organisms are seen in the cytoplasm of mononuclear cells.
Management:
Azithromycin 1 g orally once per week or 5oo mg daily for at least 3 weeks and until all lesions have completely healed.
The given image below shows the donovanosis in a female patient with a beefy red ulcer:",,A,5968-3740.PNG
Q9,which of the following is the causative organism of vulval warts?,"a)Human papilloma virus
b)Herpes simplex virus
c)Human immunodeficiency virus
d)cytomegalovirus","The causative agent of vulval warts is the human papillomavirus (HPV).
Genital warts/venereal warts/condyloma acuminata are verrucous growths that affect the skin of   the labia majora, perineum, perianal region and vulva. The lesions may be discrete or coalesce to form cauliflower-like growth. The disease is sexually transmitted. The growth of the warts is
favoured by vaginal discharge, the use of oral contraceptives, and pregnancy.
HPV causes structural changes in the epithelial cells of the skin called koilocytes, and their
presence is characteristic of HPV infection. The koilocytes have large hyperchromatic nuclei and a perinuclear halo, as shown below.


The diagnosis is made by colposcopic studies. The lesions on the vulva are stained by toluidine blue. The abnormal areas of the skin retain the blue dye. These areas are then biopsied for
histopathological examination.
The given image below shows condyloma acuminata:",,A,5969-3742.PNG;5969-3741.PNG
Q10,"A 22-year-old pregnant woman at 13 weeks of gestation informs you about accidental
exposure to radiation from a chest X-ray at 7 weeks of gestation. what should be the next step advised to her?","a)continue pregnancy
b)Terminate pregancy
c)pre-invasive diagnostic test
d)chromosome screening","In the given clinical case, the patient should be advised to continue the pregnancy.
The radiation dose to the fetus during the declared term of pregnancy should be less than 1     msv. In chest X-ray pA view, the absorbed dose of radiation by the fetus is less than o.1 msv. Hence, pregnancy can be continued.
An X-ray has a very limited role in obstetric imaging. There are very few indications where an X-ray will be useful:
• Fetal: congenital malformation of the fetus and neonates, skeletal malformations, birth injuries like fractures or dislocations.
• Maternal:  patients having cardiopulmonary disease may require an X-ray chest during pregnancy and that should be done beyond 12 weeks.
Radiation can cause fetal morbidity (FGR, genetic mutations, neurologic abnormalities, mental    retardation, childhood leukemia) and mortality. The risks are high with radiation after the first 2 weeks postconception and within the first trimester (period of organogenesis).
Radiation during pregnancy can damage the early phase of the embryo but the risk can be
minimized by using the ‘1o-day rule’. This rule states that no woman should be exposed to an X-ray for a nonurgent indication outside 1o days from her last period during the reproductive period unless the pregnancy is excluded.
The given table below shows the absorbed radiation by the fetus in different diagnostic radiation procedures:
1 cGy = 1o msv

procedure	Dose (c Gy)
Abdominal X-ra y	o.1-o.3
pelvic X-ray	o.5-1.1
Chest X-ray	<o.oo1
Abdominal CT	o.4-o.8
Chest CT	o.oo2-o. o2
Abdominopelvic CT	2.5-3.5
ventilation scan	o.oo7-o. o5
pET scan	1-1.5",,A,
