number,question,options,solution,image_q,answer_key,image_a
Q1,All of the following are indications of surgery in a patient of potts' spine except?,"a)cold abscess without neurological complication
b)Doubtful diagnosis
c)Drug resistant TB
d)progressive cauda equina syndrome/conus medullaris syndrome","A cold abscess without neurological complications is not an indication for surgery in pott’s spine/TB spine.
Indications of surgery in TB spine are:
• progressive neurologic deficit such as progressive cauda equina syndrome/conus medullaris syndrome (option D)
• progressive increase in spinal deformity
• Resistance to anti-tubercular therapy (option C)
• Recurrence of disease
• Cord compression
• severe pain due to abscess or spinal instability
• progressive impairment of pulmonary function
• uncertain diagnosis (option B): Inability to obtain a microbiological diagnosis through
microscopy, culture, or pCR techniques may occur. In cases where there is no accessible source  for sampling (such as discharging sinus or superficial abscess) or insufficient specimen obtained from image-guided percutaneous biopsy, an open surgical biopsy is the only option to obtain a    specific culture and sensitivity report.
Antero-lateral decompression is the surgery of choice for pott’s paraplegia as it helps in the removal of both solid and liquid debris.",,A,
Q2,"In case of a meniscal tear repair, which of the following zones heals best?","a)Red zone
b)white zone
c)Gray zone
d)Red+white zone","The red zone heals best in case of a meniscal tear due to its rich blood supply.
The menisci are divided into three zones depending on the perfusion of blood. The menisci are    supplied by perimeniscal blood vessels from superior and inferior branches of medial and lateral genicular vessels.
Following birth, the menisci become increasingly avascular. By adulthood, only the peripheral 1o% to 25% of the tissue is perfused. This gives rise to 3 distinct regions of the menisci:



• The peripheral relatively vascularised region called the red-red zone (zone 1)
• A zone of transition between the 2 zones, which is called the red-white zone (zone 2)
• The completely avascular inner zone known as the white-white zone (zone 3)
There is a direct relationship between the vascularization and capacity of the tissue to heal, predisposing the white-white zone to permanent post-traumatic and degenerative lesions.",,A,5284-3333.PNG
Q3,A 22-year-old male patient presents with a history of RTA. His leg is in abduction and external rotation. what could be the cause?,"a)Anterior dislocation of the hip
b)posterior dislocation of the hip
c)Intertrochanteric fracture
d)Fracture neck of femur","The patient presents with abduction and external rotation of the lower limb following a road traffic accident, which is suggestive of anterior dislocation of the hip.
Anterior dislocation of the hip is usually sustained following a high-energy accident. on physical examination, the affected limb will show abduction, external rotation, and slight flexion.
Lengthening of the limb is observed, along with a prominent anterior bulge in either the pubic or groin region.
In posterior dislocation of the hip, the lower limb is flexed, adducted, and internally rotated, and   this condition is associated with limb shortening. The neck of femur fracture and intertrochanteric fracture present with external rotation and shortening of the lower limb.
The given image shows a patient with an externally rotated, abducted, and slightly flexed left leg due to anterior dislocation of the hip:





According to the position assumed by the femoral head, anterior dislocation of the hip can further be classified as:
• Type I - superior or pubic
• Type II - Inferior or obturator
A lateral view X-ray will be confirmatory. Radiological findings include:
• The displaced femoral head will appear larger than the normal side
• As the thigh is externally rotated lesser trochanter is more prominent
X-RAY showing anterior dislocation of the hip:


Treatment of anterior dislocation includes a closed reduction under sedation or general anesthesia. If closed reduction fails, an open procedure may be planned.",,A,5285-3335.PNG;5285-3334.PNG
Q4,The most specific test for carpal tunnel syndrome is?,"a)Durkan's test
b)phalen test
c)Tinel test
d)Two point discrimination","Among the given options, Durkan's test is the most specific test for the diagnosis of carpal tunnel syndrome (CTS).
CTS is a common entrapment mononeuropathy caused by median nerve compression as it passes  through the fibro-osseous carpal tunnel beneath the flexor retinaculum. patients present with pain and paresthesia over the radial 3 and a half digits. There may be a weakness of thumb opposition. In chronic cases, the thenar eminence is wasted. The diagnosis is usually made on clinical grounds but nerve conduction studies can confirm the diagnosis.
Durkan's test is the most specific test for the diagnosis of CTS. In Durkan's test, direct median nerve compression for about 3o seconds, elicits paresthesias and pain.
other tests for CTS:
• phalen's test - Elicited by holding the wrist flexed fully. The appearance of sensory symptoms within 6o seconds implies a positive test.


• Tinel's test - Sensory symptoms reproduced by percussing over the median nerve imply a positive test.
Two-point discrimination is done to assess sensory loss and is not specific to carpal tunnel syndrome.",,A,5286-3336.PNG
Q5,"A female patient with a history of fall few months back presents with the deformity shown in the image. probing into history reveals it was managed with traditional treatment. This
deformity is likely to be due to ____________","a)Intra-articular fracture of wrist
b)Extra-articular fracture of wrist
c)Boxer's fracture
d)Barton's fracture","The given image shows the dinner-fork deformity seen in Colle's fracture which is an
extra-articular fracture of the wrist.
Colle's fracture is a fracture of corticocancellous junction of the distal end of the radius. The
dinner fork deformity is the prominence on the back of the wrist and depression in the front. It is due to the dorsal angulation of the distal fracture fragment. It is treated by a Colles’ cast, which     immobilizes the wrist in palmar flexion, pronation, and ulnar deviation.



Displacements that may be seen in colles' fracture:
• Dorsal tilt
• Dorsal shift
• Lateral tilt (Radial tilt)
• Lateral shift (Radial shift)
• supination
• Impaction of fragments
The given radiograph shows the dorsal tilt of the distal fragment leading to dinner fork deformity.",5278-3329.PNG,B,5287-3337.PNG
Q6,scoliosis screening in school children is done by?,"a)straight leg raising test
b)Forward bending test
c)Backward bending test
d)single leg standing test","The forward bending test is used as a screening tool in scoliosis.
Adam's forward bending test is the best clinical test for evaluating spinal curvature in scoliosis. steps of Adam's test :
• The patient is asked to bend forward at the waist until the spine is at the horizontal level
• knees must be maintained straight, with the feet together, the arms dependent, and the palms in opposition
• The examiner observes the trunk from behind (to assess midthoracic and lumbar rotation) and from the front (to assess upper thoracic rotation)
It is used to differentiate between structural and non-structural curves in scoliosis. on bending forward, non-structural scoliosis disappears, while structural scoliosis persists.





A straight leg raising test is used to find nerve compression in the lumbosacral area.",,B,5288-3338.PNG
Q7,Fishtail deformity is seen in the fracture of_____________,"a)Distal end of radius
b)Distal end of humerus
c)Distal end of tibia
d)Distal end of femur","Fishtail deformity is seen following a fracture of the distal end of the humerus.
Fishtail deformity of the elbow is a rare complication that can occur in childhood after a distal  humeral fracture. It is characterized by a contour abnormality of the distal humerus due to the absence or resorption of the lateral trochlear ossification centers.
Fishtail deformity of the distal humerus can be of 2 types:
• The first type is a sharp-angled wedge, which commonly occurs after fractures of the lateral
condyle. It is caused by the persistence of a gap between the lateral condylar physis ossification center and the medial ossification of the trochlea. Because of this gap, the lateral crista of the     trochlea may be underdeveloped, which may represent a small “bony bar” in the distal humeral physis
• The second type is believed to be associated with osteonecrosis of the lateral part of the medial crista of the trochlea.",,B,
Q8,Ring sequestrum is seen in?,"a)TB osteomyelitis
b)pin tract infection
c)chronic osteomyelitis","Ring sequestrum is seen in a pin tract infection.
sequestrum is a fragment of dead bone lying within a cavity formed by necrosis. Infection at a pin site in an external fixation construct leads to a ring sequestrum.
Types of sequestra:



Type	seen in
Tubular	pyogenic infections like osteo myelitis
Ring	Around pin tracts in external fixators
Black	Actinomycosis
corallifor m	perthes disease
coke	Tuberculosis (cancellous bon e)
Feathery	syphilis, Tuberculosis
sandy	Tuberculosis",,C,
Q9,A counterforce brace is used in?,"a)Tennis elbow
b)Ankle sprain
c)ulnar claw hand
d)Foot drop","A counterforce brace is used in tennis elbow.
Tennis elbow, also known as lateral epicondylitis, is a condition involving the lateral epicondyle caused by repetitive contraction of the extensor muscles during activities that require forceful     wrist extension and supination, such as playing tennis or using a screwdriver.
A counterforce brace is a treatment option for tennis elbow (shown in the image below). It works by applying compression to the extensor muscles, specifically the extensor carpi radialis brevis
(EcRB) region, which helps release the forces exerted on the lateral epicondyle. This compression prevents the transmission of tension up to the lateral epicondyle, providing relief and promoting   healing in the affected area.
Management options in tennis elbow:
• conservative management: Rest and physiotherapy
• Medical intervention: Injection of local anesthetic and steroids
• surgical methods: percutaneous release of epicondylar muscles
• other management methods: Extracorporeal shock wave therapy, arthroscopic release,
autologous blood injections, counterforce bracing, rehabilitative exercises, and ultrasound-guided percutaneous needle therapy.",,A,5290-3339.PNG
Q10,"A 1o-year-old boy presents with pain around the left knee joint. on X-ray, there is a lesion at the distal femur extending up to the terminal end. The gross image of the condition is given   below. what can be the most probable diagnosis?","a)Giant cell tumour
b)chondroblastoma
c)osteoid osteoma
d)osteosarcoma","The given clinical scenario, involving a child and a gross specimen revealing a metaphyseal tumor in the distal femur that has infiltrated through the cortex, lifted the periosteum, and extended
through the epiphyseal plate, supports the diagnosis of osteosarcoma.
A giant cell tumor (option A) is primarily an epiphyseal tumor that usually affects adults between  ages 2o and 4o years when skeletal maturity is complete. chondroblastoma (option B) is a benign tumor of childhood most commonly seen in the epiphysis. osteoid osteoma (option c) is a benign tumor most commonly seen in the diaphysis ofthe proximal femur.
osteosarcoma is the most common non-hematologic primary malignancy of bone. It occurs most commonly in the second decade of life. It is typically metaphyseal. The distal femur, proximal
tibia, and proximal humerus are common sites.
Morphologically, osteosarcomas are bulky, gritty, gray-white tumors, often with hemorrhage and cystic degeneration. They destroy cortices, form soft tissue masses, and spread extensively in the medullary canal, replacing hematopoietic marrow. Although infrequent, they may also penetrate  the epiphyseal plate or enter the joint.
Radiological features:
• Irregular destruction in the metaphysis overshadowed by the formation of new bone
• Lifting of the periosteum (codman triangle) due to the formation of new bone inciting a periosteal reaction
• Bone formation along the blood vessels within the tumor centrifugally, giving rise to a sunburst (sunray) appearance",5280-3330.PNG,D,5291-3340.PNG
