number,question,options,solution,image_q,answer_key,image_a
Q1,A 1-day-old neonate has not passed urine since birth. what is the next step in management?,"a)Continue breast feeding and observe
b)Admit to NICU
c)start artificial feeding
d)start intravenous fluids","In this clinical scenario, a 1 day-old neonate has not passed urine since birth. Most healthy
neonates void within 24 hours of life. Delay beyond the first 24 hours of life is generally benign
but may result in parental anxiety. continuing breastfeeding and observing is the next best step in management.



The first urination should occur by 12-24 hours of age and the first passage of meconium should occur by 48 hours of age.
Delay in the passage of urine is seen in conditions causing blockage to urine outflow or birth defects that affect the spinal cord. Some commonly seen conditions are vesicoureteric reflux, ureteropelvic junction obstruction, posterior urethral valve, ureterocele, and spina bifida.
Delay in the passage of the first stool in term neonates may be associated with conditions causing a lower intestinal obstruction, which include meconium plug syndrome, Hirschsprung disease,
and imperforate anus. More generalized problems, such as sepsis or hypothyroidism, should be considered.",,A,
Q2,"A 7-year-old boy presented with abdominal pain, vomiting, oliguria, and periorbital puffiness following chemotherapy. Investigations reveal hyperuricemia, raised creatinine levels, and
hyperkalemia. what is the next best step in the management of this condition?","a)Hydration
b)probenecid
c)Allopurinol
d)Rasburicase","The clinical scenario and the laboratory investigations are suggestive of tumor lysis syndrome.
Aggressive hydration is the next best step in the management of this condition.
Tumor lysis syndrome (TLS) is a condition that can occur spontaneously after the initiation of chemotherapy.
During chemotherapy, the treatment kills the malignant cells, which leads to increased serum uric acid levels from the turnover of nucleic acids causing hyperuricemia. Tumor lysis results in the
release of intracellular potassium, and phosphate pools, which causes hyperkalemia, and hyperphosphatemia. Increased phosphate levels lead to reciprocal depression of serum
calcium/hypocalcemia. Deposition of uric acid crystals, calcium phosphate, and
hyperphosphatemia leads to renal failure.
Signs and symptoms associated with TLS can develop within 12-48 hours after the initiation of chemotherapy and include:
• Abdominal pain and distension
• Dysuria, oliguria, flank pain and hematuria
• Anorexia, vomiting, cramps, seizures, spasms, altered mental status, and tetany due to hypocalcemia
• weakness and paralysis due to hyperkalemia
• Hemodialysis in patients refractory to medical treatment
The cairo-Bishop criteria are used to assess the severity of TLS.
Management of TLS includes:
• Before starting therapy, the electrolytes should be measured and aggressive hydration should be done.
• Allopurinol is a xanthine oxidase inhibitor that decreases the synthesis of uric acid. It should be started in TLS to prevent further accumulation of uric acid.
• Febuxostat is a selective non-purine xanthine oxidase inhibitor that can be used to treat
hyperuricemia. It does not require dose calculations and can be used in patients with mildly decreased renal function.



• Rasburicase is an enzyme that degrades uric acid. It is preferred in TLS over allopurinol to decrease the accumulation of uric acid.
option B: probenecid inhibits the organic anion transporter in the nephron. It thereby inhibits the reabsorption of uric acid. It is contraindicated in TLS as it increases the risk of uric acid stones
due to increased uric acid levels.",,A,
Q3,"A baby presented with abdominal pain. on examination, a mass is palpated in the right   lumbar region. A barium enema is done, and the image is given below. what is the likely diagnosis?","a)Intussusception
b)volvulus
c)Duodenal atresia
d)Intestinal obstruction","The clinical scenario of pain abdomen with a palpable mass in the right lumbar region along with the barium enema showing claw sign is suggestive of intussusception.
Intussusception occurs when a portion of the bowel is telescoped into an adjacent segment.
Intussuscipiens is the one that receives and intussusceptum are the tubes that advance. The apex of the intussusceptum is more prone to ischemia which leads to gangrene.
The most common location of intussusception is ileocolic.
It can be seen in infants during the weaning period following the introduction of new food,
vaccination, or upper respiratory tract infection, and the currently approved rotavirus vaccines are associated with very minimal risk of intussusception. An area of enlarged submucosal payer's
patch acts as a lead point for intussusception.
Some lead points in children are Meckel's diverticulum, intestinal polyp, inflamed appendix,  submucosal hemorrhage seen in Henoch-Schonlein purpura, and intestinal duplication cysts.
patients usually present with cramping abdominal pain, palpable sausage-shaped abdominal mass, vomiting, and passage of red currant jelly stools.
Diagnosis is confirmed by abdominal ultrasound which shows target sign/bull's eye sign (shown below) and pseudokidney sign (seen longitudinally).


Barium enema shows a typical claw sign (shown below). This appearance is due to the convex filling defect caused by the apex of the intussusceptum.





The image below shows the coiled spring appearance seen in intussusception. This is due to the barium in the lumen of the intussusceptum and in the intraluminal space.


Treatment of intussusception includes hydrostatic reduction by enema using contrast material or air. surgical reduction is only done in the presence of refractory shock, suspected bowel necrosis  or perforation, peritonitis, and multiple recurrences after hydrostatic reduction. An
appendicectomy is an essential component of surgical management.
option B: sigmoid volvulus presents with abdominal pain and distension with constipation. A    plain x-ray of the abdomen shows an omega sign, coffee-bean sign (shown below), or bent inner tube sign.





option C: Duodenal atresia is commonly seen in newborns. Babies usually present with
bilious/non-bilious vomiting immediately after birth. A plain X-ray abdomen reveals two foci of gas, one in the stomach and the other in the duodenum called the double bubble sign (shown     below).


option D: Intestinal obstruction presents with abdominal pain and distension with constipation. A plain x-ray of the abdomen shows multiple air-fluid levels (shown below). Normally, 3 air-fluid levels can be seen in the plain x-ray at the fundus of the stomach, at the duodenum, and at the     cecum. A barium meal is usually contraindicated in acute intestinal obstruction.",5673-3604.PNG,A,5679-3606.PNG;5680-3608.PNG;5680-3607.PNG;5681-3610.PNG;5681-3609.PNG;5682-3611.PNG
Q4,An 8-day-old newborn was found to have thyroid-stimulating hormone level of more than 1oo mIU/L. which of the following will be the next best investigation?,"a)Urine iodine excretion
b)serum thyroid receptor antibody
c)Radiotracer uptake with technetium
d)perchlorate secretion test","The given laboratory finding of increased thyroid-stimulating hormone level in an 8-day-old baby is suggestive of congenital hypothyroidism. Radiotracer uptake with technetium will be the next    investigation in this condition to confirm the presence of the thyroid gland.
congenital hypothyroidism is the most common preventable cause of mental retardation. causes of congenital hypothyroidism can be classified based on the presence of goiter as:
clinical features of congenital hypothyroidism:
• Prolongation of physiologic hyperbilirubinemia- early sign (it is due to delayed maturation of glucuronide conjugation)
• constipation- usually does not respond to treatment
• wide open anterior and posterior fontanelles (&gt;o.5 cm) and cranial sutures
• Developmental delay, delayed bone growth, delayed dentition
• cardiovascular- slow pulse rate, cardiomegaly, asymptomatic pericardial effusion, edema
• Respiratory- macroglossia, feeding difficulties, choking spells, respiratory difficulties
• Hematological- macrocytic anemia refractory to treatment with hematinics
• Nervous system- hypothermia, hypotonia, slow relaxation of deep tendon reflexes, sluggishness, and somnolence.
The classical presentation is described as the 6 P's of congenital hypothyroidism: pot-bellied, pale, puffy-faced child with protruding umbilicus, protuberant tongue, and poor brain development.
The image given below shows a pot belly with an umbilical hernia seen in congenital
hypothyroidism.



Goitrous(palpable goiter)	Non-goitrous(No palpable goi ter)
Thyroid dyshormonogenesis   (3o%)Iodine deficiencyplace   ntal passage of antithyroid dr ugs	Thyroid dysgenesis(65%)Thy  roid receptor blocking antibo  dies (5%)central hypothyroid ism


Laboratory investigations in congenital hypothyroidism would demonstrate low T4 levels and
increased TSH levels. Screening is usually done on days 1 and 5 days of life, dried blood samples obtained from a heel prick are used for this. Initial investigations in a child with high TSH levels include evaluation of radiotracer uptake study with radioactive iodine or technetium and
ultrasound of the thyroid to confirm the presence of a thyroid gland.
An X-ray shows a delay in bone development. The distal femoral and proximal tibial epiphyses normally present at birth are often absent.
In the image below, the left side shows a normal neonate with both knee epiphyses present and
the right side shows a neonate with congenital hypothyroidism in whom both epiphyses are small.





Treatment with levothyroxine should be started immediately after diagnosis. Thyroxine (T4) of dose 1o-15 μg/kg/day should be started and adjusted to achieve the normal free T4 range. In
central hypothyroidism, cortisol replacement should be started before thyroid replacement.
Neonatal hypothyroidism is a sensitive indicator of environmental iodine deficiency and can also be an effective indicator for monitoring the impact of a program.
other options:
option A: urinary iodine excretion is used for surveillance and epidemiological studies for
classifying countries according to the level of iodine deficiency by the wHo, and is an effective indicator of the program against iodine deficiency.
option B: Serum thyroid receptor antibody is used to diagnose transient congenital
hypothyroidism caused due to transplacental passage of TSH receptor blocking antibodies. It is usually seen in babies born to mothers suffering from autoimmune hypothyroidism taking
thyroxine.
option D: A perchlorate secretion test can be used to diagnose thyroid peroxidase deficiency.",,C,5683-3612.PNG;5684-3613.PNG
Q5,"A 1o-month-old infant was brought with complaints of jerking movement of limbs towards the body. on examination, there is a regression of developmental milestones.
Electroencephalogram shows hypsarrythmia. which of the following is the drug of choice in this condition?","a)phenytoin
b)Adrenocorticotropic hormone (ACTH)
c)Levetiracetam
d)phenobarbitone","The clinical scenario along with the electroencephalogram showing hypsarrythmia is suggestive of the west syndrome. Adreno-corticotropic hormone (ACTH) is the drug of choice for this
condition.
west syndrome is severe generalized epilepsy that begins between the ages of 2 and 12 months. It is characterized by a triad of:
• Infantile epileptic spasms
• Developmental regression
• Hypsarrhythmia on electroencephalogram (EEG)



Hypsarrhythmia refers to a high voltage, slow, chaotic background with multifocal spikes as shown below.


west syndrome has been known by many names like infantile spasms, salaam attacks, salaam convulsions infantile spastic epilepsy, and jackknife convulsion syndrome. During an attack
babies typically attain complete heaving of the head forward towards their knees, and then immediately relax into the upright position.
The image given below illustrates infantile spasms in a child.


Diagnosis is confirmed by EEG which typically shows hypsarrythmia.
The treatment of choice in west syndrome is either adreno-corticotropic hormone (ACTH) or     corticosteroids. An antiseizure medication, mainly vigabatrin can be used when associated with tuberous sclerosis.
Note: The table given below shows the EEG features seen in various seizure disorders.



options A and C: Phenytoin and levetiracetam are used in focal seizures and status epilepticus.
option D: Phenobarbitone is used as an antiepileptic in neonatal seizures and as an enzyme inducer in Crigler-Najjar syndrome type II.

Disease	Typical EEG feature
Lennox-Gastaut syndrome	1.5-2.5 Hz spike and polyspik e bursts in sleep
Absence seizures	3 Hz spike and slow-wave (sp ike and dome pattern)
Juvenile myoclonic epileps y	4-5 Hz spike
west syndrome	Hypsarrhythmia (high-voltag e waves with chaotic backgro und)",,B,5685-3615.PNG;5685-3614.PNG
Q6,A 2-month-old infant born to an HIV-positive mother presents with recurrent diarrhea. what is the next best step?,"a)Test stool for giardia and give antibiotics
b)Dried spot sample for HIV DNA pCR
c)Antibody tests for HIV
d)Aerobic culture","In the above scenario, the diagnosis of HIV infection should be established/ruled out before
evaluating for secondary infections. Hence, a dried spot sample for HIV DNA PCR is the next best step.
AIDS enteropathy, a syndrome of malabsorption with partial villous atrophy not associated with a specific pathogen, has been postulated to be a
result of direct HIV infection of the gut.
The diagnosis of HIV infection in babies born to HIV-infected mothers is done by HIV proviral DNA or RNA PCR, HIV culture, or HIV p24 antigen. The national program (Early Infant
Diagnosis) now uses HIV total nucleic acid (RNA + proviral DNA) PCR test on dried blood spot samples. All positive tests need to be confirmed with an HIV PCR test on another sample.
An infant born to an HIV-positive mother should be breastfed exclusively or by replacement feeds exclusively for 6 months of age. Infants should receive ARV prophylaxis with syrup nevirapine or  zidovudine.
Involvement of the gastrointestinal tract is common in HIV-infected babies. Common pathogens identified are bacteria (Salmonella, Campylobacter, Shigella, Mycobacterium avium complex),
protozoa (Giardia, Cryptosporidium, Isospora, microsporidia), viruses (CMV, HSV, rotavirus), and fungi (Candida). MAC and protozoal infections are most severe and protracted in children.
other options:
option A: Test stool for giardiasis and give antibiotics is not preferred as the immediate next step. First, the diagnosis of HIV infection should be established before treating secondary infections.
option C: Antibody tests for HIV are not useful in establishing the diagnosis of HIV infection.
This is because all infants born to HIV-infected mothers test antibody positive at birth because of  the passive transfer of maternal HIV antibodies across the placenta. It can be used as a diagnostic tool after 18 months of age.



option D: Aerobic culture is not used for the diagnosis of HIV infection.",,B,
Q7,"An 8-year-old child has difficulty walking and getting up from a squatting position. A muscle biopsy was done and is as shown in the image. which of the following is true about this
condition?","a)Death occurs in 3rd decade
b)previous history of viral prodrome
c)It is a mitochondrial storage disorder
d)Early treatment has excellent prognosis","The clinical scenario and the muscle biopsy showing fatty replacement of muscle fibers are
suggestive of Duchenne muscular dystrophy (DMD). Death in DMD occurs in the late teens and 2os (3rd decade).
DMD is the most common hereditary neuromuscular disease. It is inherited in an X-linked recessive pattern. It is caused by a mutation in the dystrophin gene on chromosome Xp21.
Normally, the dystrophin gene codes for the large protein dystrophin. Dystrophin protein forms a rod that connects the actin filaments to the transmembrane protein dystroglycan in the muscle
cell membrane. This dystrophin-glycoprotein complex thereby provides strength to the muscle and connects them to the extracellular environment.
The image given below shows the dystrophin-glycoprotein complex.


clinical features of DMD:
• progressive weakness, developmental delay, and intellectual impairment
• In toddlers- delayed walking, falling, toe walking, and trouble running or walking upstairs
• calf muscular pseudohypertrophy
The image given below shows pseudohypertrophy of the calf muscles.





• Gower's sign: patient has to use their hands and arms to walk up their own body from squatting position due to the lack of hip and thigh muscle strength due to the weakness of proximal
muscles, especially of the lower limbs.


• Trendelenburg gait/hip waddle
• The patient is unable to walk by the age of 12 years and death occurs by late 2o years of age, mostly due to respiratory failure during sleep.
The complications of DMD include contractures, scoliosis, dilated cardiomyopathy, and malignant hyperthermia after anesthesia.
Diagnosis of DMD:
• Elevated serum creatine kinase levels
• polymerase chain reaction (pCR) analysis for the dystrophin gene



• If pCR is normal, but clinical suspicion is high, muscle biopsy (fatty replacement of muscle     fibers) with dystrophin immunocytochemistry (absence of the normal sarcolemmal staining) is done.
Treatment of DMD includes glucocorticoids (prednisone or deflazacort), and multidisciplinary     management. Eteplirsen and casimersen are the two new FDA-approved drugs for the treatment of DMD.
Note- The FDA has approved vamorolone, a novel corticosteroid for the treatment of DMD. The   drug offers enhanced anti-inflammatory properties and mineralocorticoid receptor antagonism as well. It is potentially a safer and more effective alternative to glucocorticoids.",5674-3605.PNG,A,5687-3616.PNG;5688-3618.PNG;5688-3617.PNG
Q8,"A child presented with a history of loose stools with an increase in frequency for 4 days. on examination, he is drowsy, unable to feed, and skin on pinching goes back very slowly.
According to the integrated management of neonatal and childhood illness (IMNCI), this child will be classified as having:","a)Mild dehydration
b)some dehydration
c)severe dehydration
d)Moderate dehydration","A clinical scenario of a dehydrated child who is drowsy and not able to feed with skin going back very slowly on pinching is suggestive of severe dehydration (as per IMNCI).
Diarrhea is defined as a change in consistency and frequency of stools that occurs more than 3 times a day. Diarrhea, if associated with blood in stools, is called dysentery. If the episodes
subside within 7 days, it is called acute diarrhea. If it persists for more than 2 weeks, it is called persistent diarrhea.
Intestinal infections are the most common cause of acute diarrhea. Rotavirus and enterotoxigenic
E. coli are the major infectious causes of acute diarrhea. other causes are certain drugs, food allergies, and systemic infections (e.g. urinary tract infection and otitis media).
The most important assessment in the evaluation of diarrhea is to look for the degree of dehydration. It is assessed as follows:
Based on the degree of dehydration after history and examination, the
estimated fluid loss is calculated as follows:
The treatment plans A,B, and C are explained in the pearl below.

parameters	No dehydration	some dehydration	severe dehydration
Condition	well alert	Restless, irritable	Lethargic orunconscious,flop py
Eyes	Normal	sunken	very sunken and dry
Tears	present	Absent	Absent
Mouth and ton gue	Moist	Dry	very dry
Thirst	Drinks normallynot thirst y	Thirsty, drinks eagerly	Drinks poorly or isnot able to drink
skin pinch	Goes back quickly	Goes back slowly	Goes back very slowly
Treatment	plan A	weigh the patient, if possible, and use treatment plan B	weigh the patient and use tre atmentplan C urgently




Degree of dehydrati on	Assessment of fluid loss
No dehydration	less than 5o mL/kg
some dehydration	5o-1oo mL/kg
severe dehydration	more than 1oo mL/kg",,C,
Q9,which of the following children are considered at-risk babies?,"a)2,3
b)1,2,3,4
c)4,5
d)1,4","Among the given options, babies on artificial feeds and babies of working/single parents as considered at-risk babies.
The following are considered at-risk infants:
• Birth weight &lt;2.5 kg
• Twins
• Birth order of 5 or more
• Artificial feeding
• weight &lt;7o% of the expected weight (i.e. II and III degrees of malnutrition)
• Failure to gain weight during 3 successive months
• children with protein-energy malnutrition (PEM) and diarrhea
• working mother or single parent
It is important to identify children at risk and give special intensive care. This is done because these children contribute largely to perinatal, neonatal, and infant mortality.",,A,
Q10,Identify the condition.,"a)Bladder exstrophy
b)omphalocele
c)persistent vitellointestinal duct
d)Gastroschisis","The above image is suggestive of ectopia vesicae or bladder exstrophy.
Ectopia vesicae/bladder exstrophy is a congenital abnormality that occurs when the lower abdominal wall does not form properly and the bladder is open and exposed.
The clinical features of bladder exstrophy include:
• separation of the pubic bones with non-united symphysis pubis
• Epispadias
• In males- broad and short penis and bilateral inguinal hernia
• In females- bifid clitoris
Management involves a staged surgical reconstruction of the bladder and genitalia. closure of the abdominal and bladder wall is done in the first year of life. This often requires an iliac
osteotomy to relax the tension on the bladder and repair the abdominal wall during
wound-healing.



Later, reconstruction of the bladder neck, sphincters, epispadias, and other genital defects is done.
Less satisfactorily, urinary diversion can be carried out by means of ureterosigmoid anastomosis, an ileal or colonic conduit, or continent urinary diversion.
Long-term complications include:
• stricture at the site of the anastomosis with bilateral hydronephrosis and infection
• Hyperchloremic acidosis
• An increased (2o-fold) risk of tumor formation (adenoma and adenocarcinoma) at the site of a ureteroscopic anastomosis.
other options:
option B: omphalocele is a midline anterior abdominal wall defect. It occurs due to the failure of the physiological umbilical hernia to return to the abdominal cavity. The extruded abdominal
contents are covered in a sac. It is associated with elevated alpha-fetoprotein levels and
chromosomal abnormalities.
The image given below shows omphalocele.


option C: In a persistent vitellointestinal duct, the vitelline duct remains patent over its entire length. This results in the formation of direct communication between the umbilicus and the    intestinal tract. A fecal discharge may then be found at the umbilicus.
option D: Gastroschisis is a condition where intestinal loops herniate through the defect in the
abdominal wall. The defect usually lies to one side of the umbilicus (right side commonly). The
loops ofthe bowel are not covered by amnion as they herniate through the abdominal wall directly into the amniotic cavity. It is associated with elevated alpha-fetoprotein levels.",5516-3523.PNG,A,5611-3571.PNG;5611-3572.PNG
