number,question,options,solution,image_q,answer_key,image_a
Q1,"A young boy from high altitude came with fever and weakness and had the following reports - Hemoglobin 17 g%, TLC is 21,ooo with neutrophils 25, lymphocytes 3o, eosinophils 5,
myelocytes and metamyelocytes 4o in peripheral smear. Next step in the investigation should be:","a)philadelphia chromosome
b)JAK mutation
c)Erythropoietin levels
d)Bone Marrow biopsy with reticulin stain","The given clinical scenario is suggestive of polycythemia (Hb&gt;16 g/dL). Hence, erythropoietin levels (EPO) are estimated next, to differentiate between primary or secondary polycythemia.
Based on EPO levels:
• Primary polycythemia - normal/ decreased



• secondary polycythemia - increased
options A and B: JAK 2 mutation and philadelphia chromosome analysis is only done as a last resort.
option D: Bone marrow estimation with reticulin is done for myelofibrosis which can be seen in the spent/ late stage of the disease. However, peripheral smear findings are not suggestive of
primary myelofibrosis. Leukoerythroblastic reaction with dacrocytes is seen in myelofibrosis.",,C,
Q2,A 36-year-old male with skin-colored umbilicated papules. Microscopy is as shown below. The most likely diagnosis is______.,"a)Herpes virus
b)verruca vulgaris
c)Molluscum contagiosum
d)Lichen planus","The given microscopic image shows large, ellipsoid, homogeneous, cytoplasmic inclusion in cells  of the stratum granulosum and the stratum corneum classically seen in molluscum contagiosum.
Molluscum contagiosum is a common, self-limited viral disease of the skin caused by a
poxvirus. poxvirus is brick-shaped and is about 3oo nm in size, the largest pathogenic poxvirus in humans
Tzanck smear shows intracytoplasmic molluscum bodies (Henderson–patterson bodies), the largest known inclusion bodies (3o–35 μm).
Individual lesions are firm, pruritic, pink to skin-colored umbilicated papules (shown below). A curd-like material can be expressed from the central umbilication",1865-1181.PNG,C,1877-1186.PNG;1878-1187.PNG
Q3,which of the following is not an intermediate filament?,"a)vimentin
b)Tubulin
c)Desmin
d)Neurofilament","Tubulin is a part of microtubules and is not an intermediate filament.
There are three major classes of cytoskeletal proteins: microfilaments, intermediate filaments, and microtubules.
1. Actin microfilaments:
These fibrils formed from the globular protein actin (G-actin) noncovalently polymerize into long filaments (F-actin) that intertwine to form double-stranded helices.
2. Intermediate filaments:
These rope-like intermediate filament fibers are found predominantly in a polymerized form
within cells and do not possess the quality of active reorganization like actin and microtubules.
They are responsible for cellular tensile strength, which allows the cells to bear mechanical stress.
3. Microtubules:
These are formed by non-covalent polymerization of a dimer of two globular proteins,
alpha-tubulin, and beta-tubulin. The microtubules in most cells extend outward from a
microtubule-organizing center (MTOC), in which the minus ends of microtubules are anchored.



Type of intermediate filamen t	Description
Lamin A, B, and C	These proteins are localized i n thenuclear laminaof all cell
s. Mutations in lamin protein s are associated with certain   disorders such as familial par tial lipodystrophy type 2, Hut chinson-Gilford progeria syn  drome, and familial dilated c  ardiomyopathy.
vimentin	These are mainly found inme senchymal cells(fibroblasts, e ndothelium).
Desmin	present insarcomeresin musc le cells.
Neurofilament	These are found in neuronal  axons, imparting strength an d rigidity.
Glial fibrillary acidic protein	present in glial cells around neurons.
Cytokeratins	These proteins are the most    diverse among IFs and consti tutetype I (acidic)andtype II ( basic)IF proteins.There are at least 3o isoforms of this prot ein divided into two groups:E pithelial keratins(found in ep  ithelial cells) andtrichocytic k
eratins(found in hair-keratin) .",,B,
Q4,A 2o-year-old male patient is diagnosed with acute myeloid leuKemia. The peripheral blood smear picture is given in the image. The cell indicated by the arrow is best described as:,"a)Auer rod
b)Flaming promyelocyte
c)Faggot cell
d)DusKy promyelocyte","The given cell shows multiple Auer rods clustered together within a single cell resembling a
bundle of sticks. such cells have been termed as faggot cells (faggot in French means bundle of sticks).
since the question specifically asks about the cell, the best answer is faggot cell (not Auer rods). option A: Auer rods are distinctive needle-like azurophilic granules present in many cases but    particularly numerous in AML with the t(15;17) aberration (acute promyelocytic leukemia).
option B: The term flaming promyelocyte refers to cells that appear to be breaking apart, taking on a vibrant reddish-purple hue with the apparent liberation of granules into the surrounding
cellular matrix.
option C: promyelocytes containing fine granules appear dusky or hazy and are referred to as dusky promyelocytes.",1866-1182.PNG,C,
Q5,which test evaluates the extrinsic pathway?,"a)APTT
b)PT
c)TT
d)Bleeding time","Prothrombin time (PT) evaluates the extrinsic pathway of coagulation.
PT measures the clotting time of plasma in the presence of an optimal concentration of tissue extract (thromboplastin). This indicates the overall efficiency of the extrinsic clotting system.
causes of prolonged PT:
• Administration of oral anticoagulant drugs - vitamin K antagonists
• Liver disease - obstructive jaundice
• Vitamin K deficiency
• Disseminated intravascular coagulation
• Previously undiagnosed factor VII, X, V or prothrombin deficiency or defect (rare)
Activated partial thromboplastin time (APTT) measures the clotting time of plasma after the
activation of contact factors and the addition of phospholipid and cacl2, but without added tissue thromboplastin. It indicates the overall efficiency of the intrinsic pathway.
causes of prolonged APTT:
• Disseminated intravascular coagulation
• Liver disease
• Massive transfusion with plasma-depleted red blood cells
• Administration of or contamination with heparin or other anticoagulants
• A circulating anticoagulant (inhibitor)
• Deficiency of a coagulation factor other than factor VII
• Intake of oral anticoagulant drugs
• Vitamin K deficiency",,B,
Q6,"A 58-year-old man died 24 hours after the onset of substernal chest pain radiating to the left arm. on autopsy, an atheromatous plaque was seen obstructing the left anterior descending  artery. which type of calcification is most likely to be seen in this condition?","a)Dystrophic with increased serum calcium
b)Metastatic with increased serum calcium
c)Dystrophic with normal serum calcium
d)Metastatic with normal serum calcium","Atheromatous plaques are associated with dystrophic calcification. This is seen in the presence of normal calcium levels in the serum.
The deposition of calcium in dead or dying tissues is called dystrophic calcification. Although it occurs in the presence of normal serum calcium, it can be worsened by hypercalcemia.
Dystrophic calcification is seen in areas of necrosis of any type. some examples include atheromas of advanced atherosclerosis and areas of caseous necrosis in tuberculosis.",,C,
Q7,Hepcidin inhibits iron transfer from the enterocyte to the plasma by binding to ________,"a)Ferroportin
b)Transferrin
c)Divalent metal transporter 1 (DMT1)
d)Ferritin","Hepcidin inhibits iron transfer from the enterocyte to plasma by binding to ferroportin.
Hepcidin is released by the liver in response to increases in intrahepatic iron levels. It inhibits
iron transfer from the enterocyte to plasma by binding to ferroportin and causing it to be
endocytosed and degraded. As a result, iron becomes trapped within duodenal cells in the form of mucosal ferritin and is lost as these cells are sloughed.


Note: In hereditary hemochromatosis, there will be impaired hepcidin synthesis resulting in increased iron absorption.",,A,1881-1188.PNG
Q8,"A CKD patient had to undergo dialysis and his Hb was 5.2gm/dL. So two blood transfusions    were to be given. The first bag was completed in 2 hours. The second was started and in the    midway, he developed shortness of breath and hypertension. vitals were BP - 18o/12o mmHg and pulse rate - 11o/min. what is the cause?","a)Allergic
b)Transfusion related circulatory overload
c)Transfusion-related acute lung injury
d)Febrile non-hemolytic transfusion reaction","The given clinical scenario is suggestive of transfusion-associated circulatory overload (TACO).   TACO is caused by rapid or excess transfusion of red cell preparations or plasma products. This condition is characterized by:
• Dyspnea with O2% &lt;9o at room air
• Bilateral infiltrates on chest X-ray
• systolic hypertension
• Elevation of brain natriuretic peptide, 1.5 times that of pre-transfusion levels
It can be prevented by administering the transfusion slowly, at the rate of 1 to 2 ml of blood/kg of body weight per hour. Diuretics are also used if necessary.",,B,
Q9,"A patient who receives recurrent transfusions for thalassemia develops fever and chills during this time. There is no evidence of hemolysis. which of the following measures can decrease
the rate of transfusion reactions?","a)Leukoreduced RBCs
b)Antibiotics
c)Irradiation
d)washed RBCs","The given scenario is suggestive of febrile non-hemolytic transfusion reaction (FNHTR). such reactions can be prevented by using leukoreduced RBCs.



Removal of leukocytes from the blood is called leukoreduction. It is done before storage to prevent cytokine formation.
FNHTR may occur due to the following:
• sensitization to the WBc antigens by previous blood transfusions or pregnancy
• cytokines produced by the donor leukocytes during storage
• Bacterial contamination
Note: Luspatercept is an erythroid maturation agent, a receptor fusion protein consisting of a
modified extracellular domain of human activin receptor type-2B linked to the human Ig-G1 Fc    domain. The drug was recently approved by the FDA for the treatment of transfusion-dependent thalassemia.",,A,
Q10,"If DNA is damaged in the cell cycle, which gene causes cell cycle arrest?","a)Rb
b)MYC
c)p53
d)K-RAS","If the DNA is damaged in the cell cycle, the p53 gene causes arrest of the cell cycle in G1 phase to provide time for DNA repair. In case the DNA damage could not be repaired, p53 triggers
apoptosis.
In conditions where there is mutation in p53 gene, the cells with damaged DNA continue to replicate and thus may undergo neoplastic transformation.",,C,
