number,question,options,solution,image_q,answer_key,",image_a",image_a
1,A female patient on oral contraceptive pills (ocp) was diagnosed to have tuberculosis and started on antitubercular therapy (ATT). she was advised to use an additional barrier method of contraception. what is the reason for this advice?,"a) Teratogenic
b) Failure of ATT
c) Rifampicin decreases ocp metabolism
d) Rifampicin induces ocp metabolism and cause failure","Rifampicin is a potent cytochrome p45o (cyp45o) enzyme inducer. when given along with oral contraceptive pills(ocp) it would induce the metabolism of ocps leading to contraceptive failure. This is the reason for the patient being advised to use an additional method of contraception.
Important enzyme inducers are:
• Barbiturates
• phenytoin
• carbamazepine
• Rifampicin
• cigarette smoking
• chronic alcoholism
Important drugs that inhibit cyp45o isoenzyme are:
• Macrolide antibiotics
• Azole antifungals
• chloramphenicol
• omeprazole
• Selective serotonin reuptake inhibitors (SSRIs)
• HIV protease inhibitors
• cimetidine
• ciprofloxacin
• Metronidazole",,D,,
2,A 35-year-old chronic hypertensive woman visits the outpatient department for pre-conceptional counseling. which of the following anti-hypertensives should she discontinue?,"a) Labetalol
b) calcium channel blockers
c) Angiotensin-converting enzyme inhibitors
d) Alpha methyldopa","Angiotensin-converting enzyme (ACE) inhibitors should be discontinued in pregnancy as they can cause hypoplasia of organs, growth retardation, and fetal loss.
ACE inhibitors cause reduced perfusion and oligohydramnios leading to fetal growth retardation, calvarium maldevelopment, hypoplasia of lungs and kidneys, and limb contractures.
Antihypertensive drugs to be avoided in pregnancy:
• ACE inhibitors and Angiotensin receptor blockers(ARB) - Can cause growth retardation and fetal damage.
• Diuretics - Can decrease uteroplacental perfusion
• Nonselective beta-blockers
• Sodium nitroprusside - It is contraindicated in eclampsia.
Antihypertensive drugs that can be used in pregnancy:
• Labetalol - Combined a + ß blocker
• Nifedipine - Dihydropyridine calcium channel blocker. It is useful in preeclampsia but should be stopped before labor as they weaken the uterine contractions.
• Methyldopa
• Hydralazine Note:
Thiazide diuretics like hydrochlorothiazide are considered to be safe in pregnancy and are useful in the management of chronic hypertension in pregnant women.",,C,,
3,A pregnant woman was prescribed indomethacin. which of the following effects does the drug have on the fetus?,"a) premature closure of ductus arteriosus
b) keeps ductus arteriosus patent
c) closure of fossa ovalis
d) premature closure of ductus venosus","Indomethacin can cause premature closure of ductus arteriosus if given to a pregnant woman.
Indomethacin is approved for the closure of persistent ductus arteriosus in premature infants. It is given intravenously. one of its limiting factors is the development of renal toxicity in neonates.
Indomethacin is a nonselective Cox inhibitor. It has anti-inflammatory, analgesic, and antipyretic properties. It can be used in the management of conditions like rheumatoid arthritis, gouty arthritis, osteoarthritis, ankylosing spondylitis, etc. But its use is limited due to the high rate of intolerance and availability of safer agents.
Adverse effects: Diarrhea with ulcerative bowel lesions, acute pancreatitis, and hepatitis are seen. Frontal headache is the most frequent CNS effect. Dizziness, light-headedness, vertigo, and mental confusion can occur. Neutropenia, thrombocytopenia, and rarely aplastic anemia can also occur.
Note:
Prostaglandin analogs are indicated in the maintenance of patency of the ductus arteriosus.",,A,,
4,which of the following can be prescribed in case of an open angle glaucoma with bronchial asthma?,"a) Timolol
b) Gemeprost
c) Latanoprost
d) Mannitol infusion","Latanoprost can be given in a case of open-angle glaucoma with bronchial asthma.
Latanoprost is a PGF2a analog and it is not associated with systemic side effects like bronchospasm and hence can be given for asthmatic patients. Prostaglandin analogs are the first choice drugs for open-angle glaucoma.
Mechanism of action: It reduces intraocular pressure by altering the ciliary muscle tension and improving the outflow of the aqueous humor.
Advantages oflatanoprost:
• Good efficacy
• once-daily application
• Absence of systemic side effects
Disadvantage: High cost
Adverse effects:
• Blurring of vision
• Iris pigmentation
• Thickening and darkening of eyelashes
• Macular edema can occur especially in aphakic patients.
other options:
option A- Timolol is a non-selective beta-blocker used topically in glaucoma. It is associated with systemic effects by absorption through the nasolacrimal duct and can cause life-threatening bronchospasm in asthmatics and CoPD patients. Hence they are not given in in this case.
option B- Gemeprost is a PGE1 analog used for the termination of early pregnancy.
option D- Mannitol infusion is given for acute congestive glaucoma and not for open-angle glaucoma. It causes decongestion of the eye by its osmotic action.",,C,,
5,"As a medical practitioner in India, how will you prescribe alprazolam to a patient?","a) 1 mg OD before bedtime for 7 days
b) 1/2 mg HS for 7 days
c) o.5 mg BD for 7 days
d) o.5 mg daily before bedtime for 7 days","The correct method of prescribing alprazolam is o.5mg daily before bedtime for 7 days.
The drugs are prescribed in generic names legibly and preferably in capital letters. The prescription should have details to identify the patient and medication that needs to be dispensed and the therapeutic purpose. The use of abbreviations, especially Latin is discouraged. The dosage should be written in metric measure.
Guidelines for drug prescription:
The parts of an ideal prescription are as follows.
• Date
• Name and address of the doctor
• superscription(Rx symbol)
• Information about the patient
• Name and dose of the drug prescribed(Inscription)
• Dispencing directions to the pharmacist(subscription)
• Instructions for the patient
• signature of the doctor",,D,,
6,A patient started on antihypertensive presented with the following picture. which of the following drugs is the most likely cause?,"a) Lisinopril
b) Nifedipine
c) Atenolol
d) clonidine","The image shows edema over the lips and face and its occurrence following intake of an antihypertensive is suggestive of drug-induced angioedema. Lisinopril being an ACE inhibitor is most likely to be responsible for this condition.
Angioedema with ACE inhibitors:
In very few patients(o.1%-o.5%), ACE inhibitors cause rapid swelling in the nose, throat, mouth, glottis, larynx, lips, or tongue. once the drug is stopped symptoms improve drastically over hours. Angioedema of the intestine can occur very rarely.
ACE inhibitor-associated angioedema is a class effect, and patients who develop this adverse event should not be prescribed any other drugs within the ACE inhibitor class.
other adverse effects ofACE inhibitors:
Hypotension - A sudden fall in blood pressure can occur following the first dose ofACE inhibitors.
Cough - It can produce a bothersome dry cough due to the accumulation of bradykinin, substance P, or prostaglandins in the lungs. The cough usually disappears within 4 days of the stoppage of the drug.
Hyperkalemia due to K+ retention can occur.
Acute renal failure can occur with ACE inhibitors in patients with bilateral renal artery stenosis, stenosis of the artery to a single remaining kidney, heart failure, or volume depletion due to diarrhea or diuretics.
It should be discontinued in pregnant women as it can cause developmental defects.
It can also cause maculopapular skin rash in some cases.
other options:
option B: Nifedipine is a calcium channel blocker. Common adverse effects include headache, flushing, and dizziness. Peripheral edema may rarely occur.
option C: Atenolol is a beta 1 selective antagonist. Bradycardia, fatigue, cold extremities are common adverse effects. CNS side effects like nightmares and depression are less frequent with atenolol than other beta-blockers.
option D: Clonidine is an alpha-2 adrenergic agonist. The main adverse effects of clonidine are dry mouth and sedation. Bradycardia and sexual dysfunction are other effects.",1146-758.PNG,A,,
7,A patient on aspirin presented with occult blood in the stool. This is due to inhibition of____ by aspirin,"a) phospholipase A2
b) Thromboxane
c) phospholipase c
d) phospholipase D","Aspirin causes inhibition of cyclooxygenase-1(Cox-1) which would inhibit the formation of thromboxane A2. Thromboxane A2 is an inducer of platelet aggregation and is a potent vasoconstrictor. Hence inhibition of its formation is responsible for the bleeding complications of aspirin.
Aspirin is a noncompetitive, irreversible inhibitor of the cyclooxygenase(Cox) enzyme. It is a nonselective Cox inhibitor and inhibits both Cox-1 and Cox-2.
uses of aspirin:
• Analgesic and antipyretic uses.
• Acute rheumatic fever
• Rheumatoid arthritis
• post myocardial infarction and stroke due to its antiplatelet action.
• prevention of preeclampsia Adverse effects:
Nausea, vomiting, epigastric discomfort, and increased occult blood in stools are seen with analgesic doses(o.5-2g/day). Antiinflammatory doses(3-5g/day) can produce salicylism characterized by dizziness, tinnitus, vertigo, hyperventilation, reversible loss of hearing and vision, etc. It can cause elevation of liver enzymes and hepatic damage. Hypersensitivity reactions are also seen.
Reye's syndrome is a rare condition that can occur when salicylates like aspirin are given in children having viral infections like influenza.",,B,,
8,"A 6o-year-old postmenopausal female patient with a previous history of colle's fracture came with complaints of lower backache. on evaluation, her T score was -2.5. which of the following statements are false about the management of her condition?","a) Teriparatide should be started before supplementing with bisphosphonates
b) Bisphosphonates are not given for more than a year
c) calcium requirement is 12oo mg per day
d) oral vitamin D3 is given along with oral calcium","Bisphosphonates are given for periods of more than one year (option B is false). In this case, as the patient is having a history of osteoporotic fracture, teriparatide can be given before bisphosphonates.
pharmacologic management of osteoporosis:
Bisphosphonates: These are pyrophosphate analogs that act by directly inhibiting bone resorption. The antiresorptive action is mainly due to its direct inhibitory effect on osteoclasts. It causes osteoclast apoptosis as well as the prevention of hydroxyapatite dissolution. Long-term bisphosphonates therapy is given for durations of 3-5 years, depending on the fracture risk of the patient. Since they are associated with osteonecrosis of the jaw and atypical femur fractures, a drug holiday may be advised after long-term management.
Teriparatide is a recombinant PTH analog that has an anabolic effect on bone homeostasis by increasing osteoblastic activity. It increases bone mineral density and decreases the risk of fractures in postmenopausal women. Indications of teriparatide therapy include the history of osteoporotic fracture, multiple risk factors for fracture, intolerance, or failure of previous osteoporosis therapy. It is only approved for 2 years of use. clinical trials that used teriparatide prior to bisphosphonate have been proven effective.
Denosumab is a human monoclonal antibody with a mechanism of action similar to that of osteoprotegerin (oPG). It binds to RANK Ligand (RANKL), thereby inhibiting its binding to the RANK receptor of the surface of osteoclasts. This prevents RANK receptor activation and subsequent bone resorption.
Selective estrogen receptor modulators (SERMs) - Estrogen has a protective effect that prevents accelerated bone loss. This is carried out by reducing the bone resorption effects of parathyroid hormone (PTH). Keeping in line with these effects, osteoporosis prevention in postmenopausal women has been attributed to the use of SERMs such as raloxifene. It acts as an estrogen agonist on the bone and liver.
calcium and vitamin D supplementation: calcium supplementation in the elderly suppresses bone turnover and improves bone mineral density. 12oomg of calcium is daily required in adults of more than 5o years of age. vitamin D supplementation with 4oo-8ooIU/day improves intestinal calcium absorption, suppresses bone remodeling, and improves bone mineral density.",,B,,
9,"A patient presented with a history of multiple episodes of vomiting. He was given an intravenous drug, and later, he developed abnormal movements. which of the following can be used to treat him?","a) Hyoscine
b) cyproheptadine
c) Levodopa
d) Benzhexol","Benzhexol should be used in the management of this patient. The development of abnormal movements following an anti-emetic injection suggests that the antiemetic used in this case is probably metoclopramide.
Metoclopramide is a dopamine receptor antagonist used as a prokinetic and anti-emetic agent. It can produce extrapyramidal side effects and dystonia is seen acutely following intravenous injections. Anticholinergics like benzhexol (trihexyphenidyl) are used in the management of these side effects. Benzhexol is a centrally-acting anticholinergic agent. It acts by restoring the cholinergic balance in the striatal interneurons.
Extrapyramidal side effects of metoclopramide are commonly seen in children and young adults with higher doses. Acute dystonia occurs after intravenous administration, while parkinsonian-like symptoms develop weeks after therapy. It is managed with the discontinuation of metoclopramide and with anticholinergics or antihistaminics. Irreversible tardive dyskinesia can occur with chronic treatment.
other adverse effects:
It can cause galactorrhea by its dopamine antagonism. Methemoglobinemia can occur if used in infants.
other options:
option A: Hyoscine (scopolamine): It is a muscarinic receptor antagonist used in the management of motion sickness and vomiting.
option B: cyproheptadine is an H1 receptor antagonist used in the management of various allergy-related conditions like allergic rhinitis, anaphylaxis, urticaria, etc.
option c: Levodopa is the precursor of dopamine and it is given in combination with carbidopa for the management of parkinsonism.",,D,,
10,what formula is the dosing rate of a drug based on?,"a) clearance / plasma concentration
b) clearance x plasma concentration
c) clearance x loading dose
d) clearance / loading dose","The formula for drug dosing rate is clearance x plasma concentration.
The equation for dose rate given here is based on steady-state concentration. when a drug is given repeatedly at short intervals it will accumulate in the body until the elimination of the drug matches its input. So steady-state concentration is the plasma concentration at which the drug elimination and drug input balance each other.
Steady-state concentration(cpss) ? Dose rate / clearance
From this equation dose rate for a target steady-state plasma concentration is calculated as Dose rate ? clearance(cL) x target plasma concentration(cpss)",,B,,
