number,question,options,solution,image_q,answer_key,image_a
Q1,A man presents with mixed infection of plasmodium vivax and plasmodium falciparum in a health centre in Rajasthan. what is the dosage of the treatment given on the second day?,"a)4 tablets of Artesunate 5omg + 6 tablets of primaquine 2.5mg
b)4 tablets of Artesunate 5omg + 6 tablets of primaquine 7.5mg
c)4 tablets of Artesunate 5omg + sulphadoxine 15oomg + 6 tablets of primaquine 2.5mg
d)4 tablets of Artesunate 45mg + sulphadoxine 15oomg + 6 tablets of primaquine 7.5mg","The dosage of the treatment given on the second day for mixed infection with plasmodium vivax and plasmodium falciparum is 4 tablets of Artesunate 5omg + 6 tablets of primaquine 2.5mg.
For treating mixed infections of plasmodium vivax and plasmodium falciparum, the following treatment regimen is recommended. This approach ensures comprehensive treatment by
addressing both the blood stages of plasmodium falciparum with ACT and the liver stages of plasmodium vivax with primaquine.",,KEY NOT FOUND,1319-798.PNG
Q2,which drug is used to treat multiple myeloma that is known to cause reactivation of Herpes zoster?,"a)Bortezomib
b)Lenalidomide
c)Daratumumab
d)Elotuzumab","The drug used to treat multiple myeloma and that has the potential to cause reactivation of Herpes zoster is bortezomib.
Bortezomib is an inhibitor of proteasome-mediated protein degradation. It is central to the
treatment of multiple myeloma, both untreated and relapsed. Bortezomib is given intravenously or subcutaneously and dosage depends upon the disease, route of administration, and the
patient’s history.  It is known to predispose patients to the reactivation of herpesvirus, including Herpes zoster.
Adverse effects include thrombocytopenia, fatigue, peripheral neuropathy, neutropenia, anaemia, anorexia, nausea, limb pain, dizziness, etc. other adverse events like cardiac tamponade,
disseminated intravascular coagulation, toxic epidermal necrolysis, etc. have been reported.
other options:
option B: Lenalidomide is the drug of choice in patients with myelodysplastic syndrome (MDS)    associated with 5q deletion, and is an immunomodulatory analogue of thalidomide. It suppresses bone marrow and is often associated with significant leukopenia.
option C: Daratumumab is a monoclonal antibody against CD-38.
option D: Elotuzumab is a monoclonal antibody against SLAMF7, a glycoprotein expressed in    multiple myeloma cells and natural killer cells. It is used in combination with lenalidomide and dexamethasone for the treatment of multiple myeloma.",,KEY NOT FOUND,
Q3,"A patient presented with breathing difficulty and nasal polyposis when he took aspirin for
fever. He faced this issue previously too when he took aspirin. which among the following is not true about this?","a)There is no allergic sensitization to aspirin and its metabolites
b)Responds to Monteleukast
c)occur on exposure to only aspirin
d)occurs with exposure to other NsAIDs too that block Cox 1","The diagnosis for this patient with breathing difficulty and nasal polyposis, triggered by aspirin, a Cox-1 inhibitor is aspirin-induced asthma, also known as Samter's triad. The statement that is

not true is that ""it occurs on exposure to only aspirin"", as this condition can also be triggered by other NSAIDs that inhibit Cox-1, and is not restricted to just aspirin alone.
Samter's triad is also known as aspirin-induced asthma or aspirin-sensitive asthma. It consists of:
• Nasal polyposis
• Bronchial asthma
• Aspirin intolerance
A patient with Samter's triad experiences severe asthma and nasal polyposis triggered by aspirin or other Cox-1 inhibitors. This condition involves nasal congestion, rhinorrhea, anosmia, and
recurrent chronic rhinosinusitis, with acute asthma attacks often occurring a few hours after ingestion of these medications.
These patients overproduce leukotrienes due to Cox-1 inhibition and decreased prostaglandin E2 (pGE2) levels. Therefore, they should avoid Cox-1 inhibitors like aspirin and most NSAIDs but     can generally tolerate Cox-2 inhibitors and acetaminophen.
Treatment typically includes leukotriene modifiers, and in some cases, aspirin desensitization may be used to manage symptoms and allow the use of aspirin or NSAIDs if necessary for other
conditions. Recent advances in treatment include biologics such as Dupilumab and IL-5
inhibitors, which are increasingly effective in managing aspirin-induced asthma and may replace aspirin desensitization except when ongoing aspirin or NSAID therapy is required.
other options:
option A: The reaction in aspirin-induced asthma is not due to an allergic sensitization but rather due to the inhibition of Cox-1 and subsequent overproduction of leukotrienes.
option B: Montelukast, a leukotriene receptor antagonist, is effective in managing symptoms of aspirin-induced asthma by counteracting the elevated levels of leukotrienes that contribute to     inflammation and respiratory issues.
option D: It occurs with exposure to other NSAIDs too, that block Cox-1. patients with
aspirin-induced asthma can react to other NSAIDs that inhibit Cox-1, not just aspirin.",,KEY NOT FOUND,
Q4,A 75-year-old female presented with urinary incontinence. she also has cognition decline and dementia. which of the following drugs is useful for treating urinary incontinence?,"a)Tiotropium
b)Ipratropium
c)Tolterodine
d)Telenzipine","For managing urinary incontinence in a 75-year-old female with cognitive decline and dementia, tolterodine is useful.
Tolterodine is a muscarinic receptor antagonist specifically effective for treating urinary
incontinence. It exhibits selectivity for the urinary bladder, which helps to minimize side effects  compared to other antimuscarinic agents. This selectivity is beneficial for patients with cognitive decline or dementia, as it reduces the risk of adverse effects. Tolterodine is metabolized by
Cyp2D6, so its dosage may need adjustment based on individual Cyp2D6 activity, making it a suitable option for managing urinary incontinence while minimizing potential side effects.
other muscarinic antagonists for urinary incontinence include oxybutynin, trospium chloride, darifenacin, solifenacin, and fesoterodine. oxybutynin, though effective, often causes
antimuscarinic side effects such as xerostomia. Trospium chloride, being a quaternary amine, is better tolerated and excreted primarily via the kidneys, requiring dosage adjustments in renal

impairment. Darifenacin and solifenacin have selectivity for M3 receptors, which helps balance    efficacy and side effects, while fesoterodine, a prodrug, provides a stable pharmacokinetic profile due to its conversion to tolterodine’s active metabolite.
other options:
option A: Tiotropium and option C: Ipratropium are muscarinic antagonists used primarily for    respiratory conditions such as chronic obstructive pulmonary disease (CopD) and asthma, rather than urinary incontinence. Tiotropium is a long-acting agent with selectivity for M1 and M3
receptors, while Ipratropium is used more frequently for its short-acting effects.
option D: Telenzepine, an analogue of pirenzepine, displays higher potency and selectivity for M1 receptors compared to pirenzepine and is used in treating acid-peptic disease, not urinary
incontinence.",,KEY NOT FOUND,
Q5,"A 7-year-old boy presents with a two-week history of persistent fever, fatigue, and pallor. His parents also report easy bruising and gum bleeding. on examination, he is pale with
petechiae on his legs, hepatosplenomegaly, and generalized lymphadenopathy. Blood tests    show severe anemia, thrombocytopenia, and elevated white blood cell count with blast cells. what is the most appropriate initial treatment regimen for this patient?","a)IVIG
b)Doxorubicin + Idarubicin
c)prednisolone + vincristine
d)Radiotherapy of lymph nodes","The given clinical scenario suggests a diagnosis of Acute Lymphoblastic Leukemia (ALL), and standard initial treatment in children includes a chemotherapy regimen with drugs like
prednisolone and vincristine during the induction phase.
patients diagnosed with ALL present with symptoms of impaired marrow function like anaemia, infections secondary to neutropenia, and bleeding due to thrombocytopenia. other symptoms
include bone pain, generalized lymphadenopathy, splenomegaly, hepatomegaly, testicular enlargement, headache, vomiting, and nerve palsies.
Treatment of ALL
Induction: L-Asparaginase, vincristine, prednisolone, and anthracycline
CNS prophylaxis with intrathecal methotrexate
Consolidation: Methotrexate, cytarabine
Maintenance: 6-Mercaptopurine, methotrexate plus intrathecal therapy
other options:
option A: IVIG: Intravenous immunoglobulin (IVIG) is not used for treating ALL.
option B: Both doxorubicin and idarubicin are anthracyclines used in chemotherapy. while
doxorubicin can be part of certain ALL treatment protocols, idarubicin is more commonly used in Acute Myeloid Leukemia (AML) rather than ALL. This combination is not typically used in the
induction phase for ALL children.
option D: Radiotherapy is not a standard initial treatment for ALL. It may be considered in   specific cases, such as central nervous system involvement or certain high-risk cases, but the primary treatment for ALL is systemic chemotherapy, not localized radiotherapy.",,KEY NOT FOUND,
Q6,Lignocaine is used in a loading dose for the treatment of arrhythmias. The loading dose of this drug depends upon which of the following factors?,"a)clearance
b)Volume of distribution
c)plasma half life
d)Bioavailability","The volume of distribution of the drug determines the loading dose of the drug.

Loading Dose 〓 volume of distribution x Desired steady-state plasma concentration.
when the time to reach a steady-state is long, as it is for drugs with long half-lives, it may be desirable to administer a loading dose that promptly raises the concentration of the drug in   plasma to the target concentration.
other options:
option A: Clearance is used to determine the maintenance dose.
Maintenance dose 〓 clearance x desired steady-state plasma concentration.
options C and D: Plasma half-life primarily determines the frequency of dosing, while
bioavailability determines the route of administration. Though bioavailability may affect the dose necessary, it will not be the primary factor considered during the calculation of the loading dose.",,KEY NOT FOUND,
Q7,A hypertensive patient with chronic kidney disease was having frequent attacks of renal colic. which of the following diuretics is used?,"a)Furosemide
b)Mannitol
c)Hydrochlorothiazide
d)spironolactone","For a hypertensive patient with chronic kidney disease experiencing frequent attacks of renal colic, hydrochlorothiazide, a thiazide diuretic, is often used.
Thiazide diuretics are particularly effective in cases of calcium oxalate kidney stones because they reduce urinary calcium excretion. They work by acting on the distal convoluted tubule (DCT) of     the nephron, where they inhibit the Na+/Cl- co-transporter. This inhibition decreases the
intracellular sodium concentration, which, through compensatory mechanisms, leads to increased calcium reabsorption into the bloodstream.
while this mechanism helps in decreasing urinary calcium and managing calcium oxalate stones, thiazide diuretics can also cause adverse effects such as hypokalemia, hyperuricemia, and
hypercalcemia. The increased reabsorption of uric acid due to the diuretic effect can exacerbate conditions like gout and should be monitored carefully.
In addition to their use in treating calcium oxalate kidney stones, thiazide diuretics are commonly prescribed for managing uncomplicated hypertension and treating edema associated with heart,   liver, and kidney diseases. They are also used for conditions like osteoporosis and nephrogenic
diabetes insipidus.
other options:
option A: Furosemide is a diuretic that can increase calcium excretion, potentially raising PTH as the body tries to conserve calcium.
option B: osmotic diuretics, like mannitol, retain water isoosmotically in the proximal convoluted tubule (PCT) and descending loop of Henle which are freely permeable to water. Luminal fluid is    diluted and opposes NaCl reabsorption and promotes calcium excretion. They are indicated in
raised intracranial tension and in dialysis disequilibrium.
option D: spironolactone is a potassium-sparing diuretic and aldosterone antagonist. It works by competitively inhibiting aldosterone receptors in the distal tubules of the kidney.",,KEY NOT FOUND,
Q8,Identify the drug marked as IXI in the image.,"a)clopidogrel
b)Amino caproic acid
c)Tenecteplase
d)Heparin","The drug marked as 'x' in the image is aminocaproic acid.
ε-Aminocaproic acid, a lysine analogue that competes with plasminogen for binding sites on
fibrin. By blocking this interaction, ε-Aminocaproic acid prevents the conversion of plasminogen into plasmin, thereby inhibiting fibrinolysis. This action makes it a useful agent for reversing the effects of fibrinolytic therapy.
However, ε-Aminocaproic acid should be administered with caution as it can suppress intrinsic
fibrinolytic activity, potentially leading to complications such as disseminated intravascular
coagulation (DIC). To address this, fresh frozen plasma and cryoprecipitate may be used to restore fibrin and clotting factors.",,KEY NOT FOUND,1323-799.PNG
Q9,"which of the following beta-adrenergic blockers are beneficial for patients with reduced ejection fraction and can reduce mortality in chronic heart failure without causing
exacerbations over a few years?","a)propanolol
b)pindolol
c)Esmolol
d)Bisoprolol","The beta-adrenergic blocker that is useful in patients with reduced ejection fraction and can reduce mortality in chronic heart failure without causing exacerbations over a few years is    bisoprolol.
Bisoprolol is preferred for use in patients having heart failure with reduced ejection fraction (HFrEF).
The exacerbation mentioned in the context of beta-blockers for heart failure refers to the potential worsening of heart failure symptoms in some patients, despite the overall benefits of these
medications. They can sometimes lead to a decline in left ventricular function, particularly in
individuals with limited cardiac reserve who rely heavily on adrenergic stimulation. This
deterioration can manifest as increased heart failure symptoms or a decrease in cardiac function. The only beta-blockers that have been proven to improve the survival of patients with HFrEF or   chronic HF are -
• Bisoprolol
• Metoprolol
• Carvedilol

HFrEF is a complex clinical syndrome where the ventricle fails to adequately fill with or eject
blood, typically defined by an ejection fraction (EF) less than or equal to 4o%. key etiologies
include coronary artery disease, valvular heart disease, congenital heart diseases, and
autoimmune diseases like giant cell myocarditis. Patients with HFrEF commonly experience
symptoms like dyspnea on exertion, orthopnea, and paroxysmal nocturnal dyspnea, and may
present with pedal edema, elevated jugular venous pressure (JVP), ascites, and hepatomegaly on examination.
The pharmacological management of HFrEF involves drugs with both symptomatic and mortality benefits, including Angiotensin receptor–neprilysin inhibitors (ARNIs) such as
sacubitril/valsartan, angiotensin-converting enzyme (ACE) inhibitors like ramipril and enalapril, β-blockers such as metoprolol and carvedilol, mineralocorticoid receptor antagonists like
spironolactone and eplerenone, sodium-glucose cotransporter 2 (SGLT2) inhibitors like
dapagliflozin, and hydralazine plus isosorbide dinitrate (noting a mortality benefit specifically in African-American patients). Drugs used primarily for symptomatic relief, such as loop diuretics   (e.g., furosemide), and digoxin, are reserved for specific indications or during decompensation.   Non-pharmacological therapies for HFrEF include implantable cardioverter-defibrillators (ICD)  and cardiac resynchronization therapy.",,KEY NOT FOUND,
Q10,which drug is used for maintenance therapy in opium addiction?,"a)Buprenorphine
b)Naloxone
c)Butarphanol
d)clonidine","The drug used among the following options for maintenance therapy in opium addiction is buprenorphine.
Buprenorphine is a partial μ-opioid agonist and an antagonist at δ and κ receptors. It is widely
used both as an analgesic for chronic pain conditions, such as cancer pain, and as a treatment for opioid dependence, serving as an alternative to methadone.
It effectively controls cravings and blocks the effects of higher-efficacy opioids. It is often
administered in combination with naloxone to prevent misuse, although it may be given alone to pregnant women or individuals with naloxone allergies. Initial dosing typically starts at 2-4 mg    daily, with adjustments made to stabilize the dose at approximately 12 to 16 mg/day.
For opioid use disorder, effective management includes both withdrawal and long-term treatment strategies. withdrawal and detoxification generally start with managing physical dependence
using medications like methadone or buprenorphine. Methadone, a full agonist, is used to
stabilize and reduce withdrawal symptoms, while buprenorphine helps with cravings and has a lower risk of overdose.
Clonidine and lofexidine, alpha-2 agonists, are used to ameliorate withdrawal symptoms.
Lofexidine, approved by the FDA, is the first non-opioid treatment specifically for opioid
withdrawal in adults. Naltrexone, a long-acting opioid antagonist, is used as an adjunct in patients who are already opioid-free; however, it will precipitate acute withdrawal symptoms if
administered to those still dependent on opioids.",,KEY NOT FOUND,
