NUMBER,QUESTION,OPTIONS,SOLUTION,IMAGE Q,ANSWER KEY,IMAGE A
Question 1,All of the following are the uses of enteric-coated drugs except:,"a) protect the acid labile drug from gastric acidity
b) protect the gastric mucosa from irritant effects of certain drugs
c) prolongs the half life of the drug
d) Deliver drugs distal to stomach","Enteric coating of the drug does not prolong the half-life of the drug.
The half-life of a drug depends on the volume of distribution and rate of clearance from the blood. It is given by t1/2 = o.693x volume of distribution / clearance.
The enteric coating can be done for the following reasons:
• protection of active pharmaceutical ingredients, from the acidic environment of the stomach (e.g. enzymes and certain antibiotics).
• To prevent gastric distress or nausea from a drug due to irritation (e.g. sodium salicylate).
• For the delivery of drugs that are optimally absorbed in the small intestine to their primary absorption site in their most concentrated form.
• To provide a delayed-release component for repeat action.
• Required for minimizing the first-pass metabolism of the drug",,C,
Question 2,A patient who was on antiepileptics for the management of seizure disorder started having visual disturbance. Evaluation reveals the contraction of the visual field. The drug responsible is likely to be?,"a) phenobarbitone
b) vigabatrin
c) Ethosuximide
d) Levetiracetam",The given patient has developed a contraction of the visual field which is a side effect of vigabatrin.,,B,
Question 3,"If a patient who is on metoprolol is started on verapamil, which of the following side effects would be seen?","a) Bradycardia with Av block
b) Torsades de pointes
c) Tachycardia
d) ventricular fibrillation","The patient will be prone to developing bradycardia and AV block.
Both β-blockers and non-dihydropyridine calcium blockers have a propensity to slow down SA Node function and AV conduction. A combination of these drugs increases the risk further and is contraindicated. In contrast, propranolol has safely been used with the dihydropyridine group (nifedipine) of calcium channel blockers.",,A,
Question 4,The response on stimulation of muscarinic receptor is:,"a) Erection
b) Ejaculation
c) Bronchodilation
d) Increased myocardial contractility","Erection is mediated by muscarinic receptors.
Erection results from parasympathetic action which is mediated via muscarinic/nicotinic receptors, whereas sympathetic action is mediated by adrenergic receptors.",,A,
Question 5,Rosuvastatin should not be combined with which of the following drugs?,"a) oxycodon
b) clarithromycin
c) Adalimumab
d) Rivoraxaban","Rosuvastatin should not be combined with clarithromycin.
clarithromycin is a macrolide antibiotic and it can cause drug interactions because of its ability to inhibit organic anion-transporting polypeptides 1B1 and 1B3 (OATP1B1 and OATP1B3) which are involved in the excretion of statins like rosuvastatin and pravastatin.
Individuals taking rosuvastatin, pravastatin, or fluvastatin with clarithromycin had an increased risk of hospitalization for acute kidney injury, an increased risk of hyperkalemia and an increased risk of all cause mortality.",,B,
Question 6,which is not a prodrug?,"a) proguanil
b) sulindac
c) primidone
d) Flurouracil","Among the given options primidone is not a prodrug.
Prodrugs are drugs that are in their pharmacologically inactive form. They are converted to their active forms by metabolism.
The prodrug may offer advantages over the active form in being more stable, having better bioavailability, or fewer side effects and toxicity. Some prodrugs are activated selectively at the site of action. The given options are examples of prodrugs:
• sulindac is a sulfoxide prodrug used in inflammatory diseases including osteoarthritis, rheumatoid arthritis, acute gouty arthritis, ankylosing spondylitis.
• proguanil is a prodrug and its active metabolite is cycloguanil. It is used in the treatment and prevention of malaria.
• Fluro-uracil is a prodrug having the active metabolite as fluorouridine monophosphate",,C,
Question 7,which of the following topical antifungal has both anti-inflammatory effects and anti-pruritic action?,"a) ketoconazole
b) sertaconazole
c) Luliconazole
d) Terbinafine","sertaconazole has both anti-inflammatory effects and anti-pruritic action.
sertaconazole inhibits the release of pro-inflammatory cytokines from activated immune cells.",,B,
Question 8,A patient is started on lithium therapy. which of the following side effects should the patient be asked to watch out for to monitor for toxicity?,"a) Malaise and sore throat
b) vertigo and Diarrhoea
c) Fever
d) Breathlessness","vertigo and diarrhoea are known side-effects of lithium therapy. Lithium therapy can cause side effects at both therapeutic and toxic levels.
known significant side effects of lithium therapy include
• polyuria-polydipsia
• Dry mouth
• Leukocytosis Headache
• Hand tremors
• Confusion
• Decreased memory
• Muscle weakness
• Hyperreflexia
• Muscle twitch
• vertigo
• ECG changes
• Nausea & vomiting
• Diarrhoea
other options:
No evidence of significant association with sore throat, fever or breathlessness has been documented with lithium therapy",,B,
Question 9,"A psychiatric patient was started on lithium for the management of bipolar disorder. To monitor the blood lithium levels, at what time interval should the blood sample be collected after the administration of lithium tablets?","a) After 24 hours
b) After 12 hours
c) After 6 hours
d) Immediately after taking tablets","The blood sample for serum lithium estimation is to be collected after a time interval of 1o-12 hours from the previous dose of lithium.
Lithium is used in the management of bipolar disorder, mania, and has anti-suicidal properties. It has a narrow therapeutic index, and blood levels in excess of this may cause symptoms of toxicity. Therapeutic drug monitoring is done by measuring trough lithium levels 12 hours after the previous dose, at least 5 days after the initiation of the treatment with lithium.",,B,
Question 10,which of the following is a second line anti-tubercular drug?,"a) streptomycin
b) Ethionamide
c) Acyclovir
d) vancomycin","Ethionamide is a second line anti-tubercular drug.
Ethionamide is structurally related to isoniazid and acts by inhibiting the mycolic acid synthesis. It is effective against bacilli resistant to other drugs and has been proved effective in infections due to atypical mycobacteria. It is effective against both intracellular as well as extracellular organisms.
The first line anti-tubercular drugs include: Isoniazid, Rifampicin, pyrazinamide, Ethambutol The second line drugs include fluoroquinolones, ethionamide, capreomycin, kanamycin, amikacin, cycloserine, thioacetazone.
Note: This is a recall question when ethionamide is a second-line among the given options, and streptomycin was a first line injectable drug.",,B,
