NUMBER,QUESTION,OPTIONS,SOLUTION,IMAGE Q,ANSWER KEY,IMAGE A
Question 1,which physiological adaptation does not happen at high altitudes?,"a) pulmonary vasoconstriction
b) polycythemia
c) Respiratory acidosis
d) Hypoxia","The physiological adaptation that does not happen at high altitudes is respiratory acidosis.
Respiratory alkalosis is the physiological adaptation seen at high altitudes due to hyperventilation. It is a method of acclimatization. compensatory mechanisms that are carried out to increase altitude tolerance are called acclimatization.
Following are the physiological changes that occur during acclimatization:
• Hyperventilation leads to respiratory alkalosis and shift of the oxygen–hemoglobin dissociation curve to the left (and shifts to right after aclimitization).
• Increased erythropoietin secretion, leading to an increase in circulating red blood cells
• Increased number of mitochondria
• Increased myoglobin to facilitate the movement of o2 into the tissues.
• Increased tissue cytochrome oxidase
• Increased sympathetic tone
• Renal suppression of carbonic anhydrase and excretion of dilute alkaline urine brings the pH of the blood to normal.
• Decreased maximal exercise capacity (by ~1% for every 1oo meters gained above 15oo meters)
other options:
option A- In response to the high altitude hypoxia, pulmonary vasoconstriction occurs due to which blood flow is distributed where it is most effective, leading to distribution of blood flow to the pulmonary areas in proportion to their alveolar o2 pressures.
option B- Polycythemia - Erythropoietin secretion increases on the ascent to high altitude which results in polycythemia
option D- Hypoxia - Total barometric pressure decreases as altitude increases, resulting in decreased Po2 (partial pressure of oxygen) leading to hypoxic hypoxia.",,C,
Question 2,countercurrent mechanism is present in which of the following parts of the body?,"a) 1 and 2 are correct
b) 1,2,3 are correct
c) 1,2,3,4,5 are correct
d) 2,3,4,5 are correct","The countercurrent mechanism is present in the testis, kidney, gut, and lungs. when the inflow runs parallel to, counter to, and in close proximity to the outflow for some distance it is called as the counter current mechanism.
spermatogenesis requires a temperature considerably lower than that of the interior of the body. The testes are kept cool by heat exchange in a countercurrent manner between the spermatic arteries and veins.
The concentration of the urine by the kidney requires an osmolality gradient. This gradient is produced by the loop of Henle as counter-current multipliers and maintained by vasa recta as counter-current exchangers.
The functioning of the loop of Henle depends upon:
• The high permeability of the thin descending limb to water ( via aquaporin-1)
• Active transport of Na+ and cl- from the thick ascending limb, thereby diluting the tubular fluid.
• The inflow of tubular fluid from proximal tubule and outflow to the distal tubule.
The countercurrent mechanism is used in the villi to decrease the oxygen availability for local metabolic reactions of the gut. Hence this will increase the blood flow in the intestine during gastrointestinal activity.
countercurrent exchange of oxygen is seen in the lungs as well.",,D,571-500.PNG
Question 3,Match the following molecules with their carriers in plasma:,"a) 1-b, 2-c, 3-d, 4-a
b) 1-a, 2-b, 3-c 4-d
c) 1-a, 2-d, 3-b 4-c
d) 1-b, 2-c, 3-a, 4-d","plasma contains various components like ions, inorganic and organic molecules which help in the transport of substances across various parts of the body. Albumin, globulin, and fibrinogen fractions are important plasma proteins. some of the plasma proteins act as antibodies and are also concerned with blood clotting. where some others are non-specific carriers of hormones, drugs, and other solutes. Majority of plasma proteins are synthesized in the liver. The above table shows some of the proteins synthesized by the liver and the molecules they carry.
Thyroxine is carried by thyroid-binding pre-albumin which is also known as transthyretin.
Albumin is a carrier protein as well as an osmotic regulator which carries hormones, amino acids, vitamins, and steroids too.
Hemopexin binds with heme, particularly for heme recycling.
Haptoglobin binds to free hemoglobin and prevents its excretion in urine.Hence, haptoglobin levels decrease in the presence of free hemoglobin as seen in hemolytic anemia.
| Molecules: Thyroxine, Free fatty acid, Hemoglobin, Heme |
| --- |
| Carriers: prealbumin, Albumin, Haptoglobin, Hemopexin |
",,A,
Question 4,Myosin ceases to be in contact with actin filaments as a result of:,"a) Dissociation of ADp and pi
b) cessation of calcium release from sarcoplasm
c) conformational change in Troponin T
d) Attachment of ATP to myosin head","Myosin ceases to be in contact with actin filaments as a result of the attachment of ATP to the myosin head.
Muscle contraction occurs by sliding of thin filament over thick filament. The sequence of events are as follows:
• Troponin I is bound to actin and tropomyosin and covers the sites where actin interacts with myosin heads in a resting muscle. The myosin head contains tightly bound adenosine phosphate (ADP) and inorganic phosphate (Pi).
• Following an action potential, cytosolic ca2+ is increased due to the ca2+ released from the sarcoplasmic reticulum. simultaneously ca2+ influx happens through voltage-gated ca2+ channels too.
• The free ca2+ binds with troponin c. This binding will weaken the troponin I interaction with actin and exposes the actin-binding site for myosin.
• This results in the formation of myosin-actin cross-bridges.
• The cross-bridge between the head of the myosin and the active site of the actin causes a conformational change in the head and the power stroke occurs, moving the thin filament relative to the thick filament.
• once the head of the cross-bridge tilts, the ADP and phosphate ion that were previously attached to the head are released and a new ATP molecule can bind in that place.
• The binding of the new ATP molecule to the free site on the myosin causes detachment of the head of the myosin from the actin.
• ATP is hydrolyzed and Pi released, causing a re-cocking of the myosin head and completing the cycle.",,D,573-502.PNG
Question 5,Transport of iron into enterocytes is done by which of the following proteins:,"a) Transferrin
b) Ferroportin
c) Hepcidin
d) Divalent metal transporter - 1","Transport of iron into enterocytes is done by divalent metal transporter-1 protein.
Iron absorption occurs in the duodenum. Iron in our gut exists in 2 forms, they are nonheme and heme iron.
Luminal nonheme iron is mostly in the Fe3+ (ferric) state and is reduced to Fe2+ (ferrous) iron by ferrireductases. Fe2+ iron is then transported across the apical membrane by divalent metal transporter 1 (DMT1).
Given below is an image of iron absorption that shows divalent metal transporter-1 protein in intestinal mucosal cells.
Heme iron is moved across the apical membrane into the cytoplasm through heme transporters.
In the duodenal cells, Fe2+ iron can follow one of two pathways: transport to the blood or storage as mucosal iron. The nonstorage form of Fe2+ iron is transported from the cytoplasm into circulation by the protein ferroportin (option B).
once in circulation, Fe2+ is again oxidized back to Fe3+ iron by hephaestin and ceruloplasmin. The newly absorbed Fe3+ iron binds rapidly to transferrin (option A), which delivers iron to red cell progenitors in the marrow.
Hepcidin (option C), is a protein secreted from the liver that plays a major role in the regulation of iron absorption. when the body’s iron stores are adequate, it downregulates the expression of ferroportin and thereby decreases iron absorption.",,D,573-501.PNG
Question 6,"vessel A has a length of L and diameter of D and vessel B has 2L and 2D. considering the flow is laminar through both the cylinders, the flow through B is how many times as much as the flow through A?","a) 4 times
b) 8 times
c) 16 times
d) 32 times","Flow through B will be 8 times more than the flow through A.
According to poiseuille Hagen formula,
F= Δp x π/8 x 1/n x r4/L
F = flow
Δp = pressure difference between two ends of the tube
η = viscosity
r = radius of the tube
L = length of the tube
Hence flow directly varies to the 4th power of radius and inversely varies to length.
Flow through B = (2r)4/2L = 8 times",560-495.PNG,B,
Question 7,"If the pH is reduced from 7.4 to 7.3 with the Po2 being constant at 1oo mmHg, which line would Pco2 follow?","a) 1
b) 2
c) 3
d) 4","If the pH is reduced from 7.4 to 7.3 with the alveolar po2 being constant at 1oo mmHg, pCo2 would follow line 1.
This concept can be understood in three steps.
step 1- Effect of Co2 on ventilation, when the alveolar po2 is kept constant.
when the alveolar po2 (pao2) is kept constant, an increased amount of inspired Co2 leads to increase in the ventilation. The relation is a straight line.
The below graph shows the effect of Co2 on ventilation when alveolar pao2 is kept constant at 1oomm Hg.
step 2. The shift of the above graph when Po2 changes.
when Po2 changes, the relation between the amount of Co2 inhaled and ventilation still remains in a straight line. However, the slopes of the lines change. The slope increases when alveolar Po2 decreases and vice versa. In other words, the lines move towards the left when Po2 decreases.
However, the point of intersection of all these lines remains the same.
The below graph shows the relation between inspired Co2 and ventilation when alveolar Po2 is maintained at 4omm Hg, 55mm Hg, and 1oo mm Hg. As the alveolar Po2 has decreased, the lines have shifted to the left. But they are all intersecting at the same point on the x-axis.
step 3. The shift of the above graph when pH changes.
when pH decreases, as in acidosis, the Co2 response curve is similar to the above. The only difference is they are shifted to the left and have different points on the intersection on x- axis.
The below graphs show Co2 response curves when pH is 7.4, 7.3, and Po2 is 4omm Hg, 55mm Hg, and 1oomm Hg. The lines have shifted to the left and have a different point of intersection.
In the question image, only line 1 has been shifted to the left and has a different point of intersection on x-axis compared to other lines. Therefore, line 1 is the answer.",561-496.PNG,A,575-504.PNG
Question 8,"substances and the type of transport across a membrane are given below, choose the correct combination:","a) 1 and 2 are correct
b) 1, 2, and 4 are correct
c) 1, 2, 3, 4, and 5 are correct
d) 1, 2, and 5 are correct","All the given combinations 1, 2, 3, 4, and 5 are correct.
1) oxygen is a non-polar molecule and hence can diffuse across the lipid membrane of the cells.
2) Facilitated diffusion - Transporting the molecule from one side of the cell membrane to the other is done with the help of transport proteins called carriers. Molecules move from areas of high concentration to areas of low concentration. No energy input is required when carrier proteins move substances in the direction of their gradients. Glucose transport by the glucose transporter is an example, which moves glucose down its concentration gradient from the ECF to the cytoplasm of the cell.
3) voltage-gated channels are simple ion channels acting as transport proteins, gated by membrane potential alterations. sodium transported via voltage-gated channels is an example.
4) Transporting more than one substance together using a single transport protein against the gradient is known as secondary active transport. An example is sGLT 1, the cotransporter of sodium and glucose from the intestinal lumen into mucosal cells.
5)Active transport - Transporting of substances against the gradients, and requires energy. ca2+ ATpase that pumps out calcium out of the cells is an example.",,C,576-505.PNG
Question 9,"A and B in the graph below represent which of the following ions, in terms of permeability for action potential generation?","a) A is Na+, B is K+
b) A is Na+, B is ca2+
c) A is K+, B is ca2+
d) A is ca2+, B is K+","In the given graph, showing action potential generation in terms of ion permeability, wave A represents Na+ and B represents K+.
The sequence of events during the action potential occurs in 7 steps as described below.
1. Resting-state - Both channels are closed
2. Na+ channels open in response to depolarizing stimulus. sodium enters the cell. The membrane reaches threshold potential.
3. The sodium influx causes the opening of more Na+ channels through a positive feedback mechanism. Rapid depolarization occurs.
4. sodium conductance decreases.
5. Na+ channels close and K+ channels open. Repolarization occurs.
6. sodium channels are reset, and are ready to respond to another depolarizing stimulus (relative refractory period). During this phase, the potassium channels remain open and slowly return to closed state causing after-hyperpolarization.
7. Both channels are closed. The membrane returns to RMP.",562-497.PNG,A,578-508.PNG
Question 10,Transcutaneous electrical nerve stimulation (TENS) is used to relieve pain. what is the mechanism behind it?,"a) Gate control theory
b) conditioned pain modulation
c) Descending inhibition
d) central inhibition","Gate theory of pain is the mechanism behind transcutaneous electrical nerve stimulation (TENS). This method uses electrodes to activate Aα and Aβ fibres near the injury to relieve pain.
At the site of sensory afferent termination, transmission in nociceptive pathways can be interrupted. This is done by the actions within the dorsal horn of the spinal cord. Pain subsiding when the site of injury is rubbed or shook is an example. Afferents of innocuous cutaneous mechanoreceptors emit collaterals that terminate in the dorsal horn. The responsiveness of dorsal horn neurons to their input from nociceptive afferent terminals is reduced by these afferents This is called the gate-control mechanism of pain modulation.
The given image depicts the gate control theory of pain:",,A,579-510.PNG
